team_back,team_home,score,datetime
                Ukraine,                Poland,                    1 - 3,2020-01-31 00:01:00
                Algeria,                Greece,                    1 - 2,2020-01-31 00:04:00
                Czech Republic,                England,                    1 - 0,2020-01-31 00:07:00
                Uruguay,                Russia,                    2 - 2,2020-01-31 00:10:00
                England,                Uruguay,                    2 - 2,2020-01-31 00:13:00
                Costa Rica,                Algeria,                    1 - 0,2020-01-31 00:16:00
                Bosnia H,                Honduras,                    1 - 1,2020-01-31 00:19:00
                Cameroon,                Belgium,                    3 - 1,2020-01-31 00:22:00
                Russia,                Croatia,                    1 - 0,2020-01-31 00:25:00
                Bosnia H,                South Korea,                    0 - 2,2020-01-31 00:28:00
                Iran,                Japan,                    1 - 2,2020-01-31 00:31:00
                Brazil,                Iran,                    0 - 2,2020-01-31 00:34:00
                Russia,                Italy,                    2 - 0,2020-01-31 00:37:00
                Japan,                Honduras,                    0 - 1,2020-01-31 00:40:00
                France,                Cameroon,                    0 - 0,2020-01-31 00:43:00
                Brazil,                Holland,                    2 - 0,2020-01-31 00:46:00
                Chile,                USA,                    3 - 1,2020-01-31 00:49:00
                Denmark,                Greece,                    2 - 2,2020-01-31 00:52:00
                France,                Republic of Ireland,                    1 - 2,2020-01-31 00:55:00
                USA,                Croatia,                    3 - 0,2020-01-31 00:58:00
                Bosnia H,                Uruguay,                    2 - 1,2020-01-31 01:01:00
                Poland,                Italy,                    2 - 1,2020-01-31 01:04:00
                Russia,                Cameroon,                    1 - 3,2020-01-31 01:07:00
                Spain,                Croatia,                    1 - 0,2020-01-31 01:10:00
                Sweden,                Portugal,                    0 - 1,2020-01-31 01:13:00
                Cameroon,                Iran,                    0 - 2,2020-01-31 01:16:00
                England,                Holland,                    1 - 1,2020-01-31 01:19:00
                Costa Rica,                England,                    2 - 2,2020-01-31 01:22:00
                Russia,                Holland,                    1 - 1,2020-01-31 01:25:00
                Ecuador,                Mexico,                    3 - 1,2020-01-31 01:28:00
                Portugal,                Russia,                    2 - 0,2020-01-31 01:31:00
                Republic of Ireland,                England,                    1 - 0,2020-01-31 01:34:00
                Croatia,                Denmark,                    1 - 0,2020-01-31 01:37:00
                Croatia,                Ivory Coast,                    1 - 1,2020-01-31 01:40:00
                Ecuador,                Colombia,                    0 - 0,2020-01-31 01:43:00
                Costa Rica,                Bosnia H,                    3 - 0,2020-01-31 01:46:00
                Switzerland,                Italy,                    1 - 0,2020-01-31 01:49:00
                Holland,                Croatia,                    1 - 0,2020-01-31 01:52:00
                Portugal,                Spain,                    0 - 1,2020-01-31 01:55:00
                Japan,                Ivory Coast,                    2 - 0,2020-01-31 01:58:00
                Spain,                Greece,                    1 - 2,2020-01-31 02:01:00
                Switzerland,                Argentina,                    0 - 0,2020-01-31 02:04:00
                Republic of Ireland,                Ukraine,                    4 - 0,2020-01-31 02:07:00
                USA,                England,                    3 - 1,2020-01-31 02:10:00
                Croatia,                Spain,                    3 - 0,2020-01-31 02:13:00
                Algeria,                Spain,                    0 - 1,2020-01-31 02:16:00
                England,                Denmark,                    0 - 0,2020-01-31 02:19:00
                Denmark,                Poland,                    0 - 3,2020-01-31 02:22:00
                Czech Republic,                Ukraine,                    0 - 0,2020-01-31 02:25:00
                Spain,                Portugal,                    0 - 0,2020-01-31 02:28:00
                Portugal,                USA,                    2 - 2,2020-01-31 02:31:00
                Italy,                Uruguay,                    1 - 2,2020-01-31 02:34:00
                Germany,                France,                    0 - 1,2020-01-31 02:37:00
                Iran,                Portugal,                    0 - 2,2020-01-31 02:40:00
                Croatia,                Switzerland,                    2 - 0,2020-01-31 02:43:00
                Portugal,                Ecuador,                    0 - 1,2020-01-31 02:46:00
                South Korea,                Spain,                    1 - 0,2020-01-31 02:49:00
                Honduras,                Holland,                    2 - 0,2020-01-31 02:52:00
                Portugal,                France,                    0 - 0,2020-01-31 02:55:00
                Argentina,                Greece,                    1 - 0,2020-01-31 02:58:00
                Croatia,                Spain,                    3 - 0,2020-01-31 03:01:00
                France,                Mexico,                    2 - 0,2020-01-31 03:04:00
                Iran,                Argentina,                    2 - 0,2020-01-31 03:07:00
                Russia,                Republic of Ireland,                    0 - 1,2020-01-31 03:10:00
                Denmark,                Sweden,                    1 - 1,2020-01-31 03:13:00
                Croatia,                Republic of Ireland,                    1 - 2,2020-01-31 03:16:00
                Greece,                Russia,                    4 - 0,2020-01-31 03:19:00
                Cameroon,                Ghana,                    0 - 0,2020-01-31 03:22:00
                Greece,                Holland,                    1 - 2,2020-01-31 03:25:00
                Uruguay,                Spain,                    2 - 1,2020-01-31 03:28:00
                Spain,                Poland,                    0 - 1,2020-01-31 03:31:00
                Colombia,                Bosnia H,                    1 - 0,2020-01-31 03:34:00
                Greece,                England,                    4 - 0,2020-01-31 03:37:00
                Holland,                Mexico,                    0 - 2,2020-01-31 03:40:00
                Iran,                Ghana,                    1 - 0,2020-01-31 03:43:00
                Greece,                Sweden,                    2 - 1,2020-01-31 03:46:00
                Portugal,                England,                    2 - 0,2020-01-31 03:49:00
                Italy,                Denmark,                    1 - 1,2020-01-31 03:52:00
                Argentina,                Italy,                    1 - 2,2020-01-31 03:55:00
                England,                Croatia,                    0 - 1,2020-01-31 03:58:00
                Ivory Coast,                Iran,                    0 - 0,2020-01-31 04:01:00
                Colombia,                Greece,                    2 - 0,2020-01-31 04:04:00
                Republic of Ireland,                Poland,                    1 - 0,2020-01-31 04:07:00
                Czech Republic,                Poland,                    0 - 0,2020-01-31 04:10:00
                Portugal,                Republic of Ireland,                    0 - 1,2020-01-31 04:13:00
                Greece,                Belgium,                    1 - 1,2020-01-31 04:16:00
                Argentina,                Croatia,                    1 - 1,2020-01-31 04:19:00
                Greece,                Spain,                    1 - 0,2020-01-31 04:22:00
                Italy,                Holland,                    1 - 3,2020-01-31 04:25:00
                Argentina,                Costa Rica,                    2 - 0,2020-01-31 04:28:00
                Costa Rica,                Honduras,                    0 - 3,2020-01-31 04:31:00
                Poland,                England,                    1 - 2,2020-01-31 04:34:00
