address,details,fone,link,name
"R. Expedicionário Adir Jorge, 153",Imobiliária,(41) 99963-5226,http://www.mscorretor.com.br/,MS Corretor de Imóveis
"R. Cap. João Ribas de Oliveira, 483/1",Imobiliária,(41) 3151-2833,http://www.oliveiraefurquimimoveis.com.br/sobre,J.Furquim Imoveis
"Praça Gen. Osório, 115",Imobiliária,(41) 3225-4228,,Edifício Santa Júlia Curitiba
"R. Via Veneto, 890 - sala 3",Imobiliária,(41) 3364-0042,,Imobiliária Bela Curitiba
"Tv. Ferreira do Amaral, 20 - Loja 06",Imobiliária,(41) 3342-1516,http://www.galoimoveis.com.br/,Galo Imobiliária
"Av. Pres. Getúlio Vargas, 2932",Imobiliária,(41) 3022-6266,http://www.origemimoveis.com.br/,Origem Imóveis
"R. Armando Sáles de Oliveira, 354",Imobiliária,(41) 3093-7888,https://www.onimaximoveis.com.br/contato.php,ONIMAX IMÓVEIS
"Av. Manoel Ribas, 5774",Imobiliária,(41) 3515-1589,/aclk?sa=l&ai=DChcSEwiiw7rb--3pAhXFCpEKHWG5BrgYABAAGgJjZQ&sig=AOD64_0uWjGZBXKRcZfCwiBUQwnoEx4yrg&adurl&q&ctype=99,Gonzaga Aluguel
Curitiba,,(41) 99684-7181,https://www.airbnb.com.br/rooms/17196270?s=51,Amazing Apartment in Curitiba
"R. Manoel Eufrásio, 784",Imobiliária,(41) 3015-2323,http://www.imoveisgh.com.br/,Imobiliária Green House Ltda
"R. Des. José Carlos Ribeiro Ribas, 945",Imobiliária,(41) 99657-9793,http://www.imovelemcuritiba.com.br/,Imóvel em Curitiba
"Av. Pres. Kennedy, 1215",Imobiliária,(41) 4004-9000,http://www.mrv.com.br/,MRV
"Av. Iguaçu, 1748",Imobiliária,(41) 3223-8015,http://www.romai.com.br/,Roma Imóveis
"Av. Sete de Setembro, 3695",Corretora de aluguel de imóveis,(41) 3515-1551,http://www.gonzagaimoveis.com.br/?pht=29941561654075739,Gonzaga Aluguel
"Rua Rodolpho Senff, 63",Imobiliária,(41) 99928-3388,https://www.elkcorretoradeimoveis.com.br/,E.L.K. - Corretora de Imóveis
"Av. Rep. Argentina, 919 - Loja 2",Imobiliária,(41) 3342-3443,http://www.opusimobiliaria.com.br/,Opus Empreendimentos Imobiliários
"R. Comendador Fontana, 75",Imobiliária,(41) 3014-1101,http://www.galvaovendas.com/,Galvão Vendas
"R. Sete de Abril, 209",Imobiliária,(41) 99974-2920,http://www.cm2imoveis.com.br/,CM2 Imóveis & Design
"11º andar - Edifício Farid Surugi - Rua Presidente Faria, 51",Centro comercial,(41) 3025-3366,https://www.szlimoveis.com.br/,SZL Imóveis
"Av. Com. Franco, 2921",Imobiliária,(41) 3044-2500,https://www.imoveisboulevard.com.br/,Boulevard Imóveis
Fazenda Rio Grande,Imobiliária,(41) 3627-2444,/aclk?sa=l&ai=DChcSEwi7vrHq--3pAhUNEZEKHYu9APQYABAAGgJjZQ&sig=AOD64_2ZuLGCTjnyCBbi7_IrU6k9bxI8-A&adurl&q&ctype=99,RM Imóveis
"Rua Visconde de Nácar, 1210",Imobiliária,(41) 3028-2020,http://www.imobiliariarazao.com.br/,Imobiliária Razão
"R. Rio Grande do Sul, 329",Imobiliária,(41) 3092-4539,http://www.abcimoveis4.com.br/sobre,ABC IMOVEIS ASSESSORIA IMOBILIARIA
"Av. Ver. Toaldo Túlio, 4230",Imobiliária,(41) 3044-4230,https://www.magaimoveis.com.br/contato.php,Imobiliária em Curitiba - Magalhães Imóveis
"Rua Alcino Guanabara, 1477",Imobiliária,(41) 3278-2824,http://www.aebimoveis.com.br/,AeB Imóveis
"R. Maestro Francisco Antonello, 428",Imobiliária,(41) 3332-3350,http://www.miamiimobiliaria.com.br/,Miami Imobiliária Curitiba
"R. Raul Pompéia, 301 - Sobre Loja Mafrei",Imobiliária,(41) 3239-6290,http://www.rezendecorretoradeimoveis.com.br/,Rezende Imóveis
"Rua Alberto Bolliger, 100",Imobiliária,(41) 3353-2552,http://www.tantus.com.br/,Imobiliária Tantus
"Av. Rep. Argentina, 955",Imobiliária,(41) 3025-1414,http://www.imobiliariax.com.br/,Imobiliária X
"Condomínio Triumph Center Batel - R. Francisco Rocha, 62",Imobiliária,(41) 3243-3438,http://www.construa.com.br/,Construa Assessoria Imobiliária
"Rua Luiz França, 746, Sobre loja",Imobiliária,(41) 3206-9139,http://www.lotimobiliaria.com.br/,Lot Imóveis
,Imobiliária,(41) 99692-7550,http://www.imobiliariabaumann.com.br/,Imobiliária Baumann
"Rua Professor João Soares Barcelos, 778, Salas 4 e 5",Imobiliária,(41) 3276-8888,http://www.ligueimoveis.com/,Ligue Imóveis imoveis os melhores imoveis de Curitiba e Regiao PR
"Av. Manoel Ribas, 279",Imobiliária,(41) 3149-9090,/aclk?sa=l&ai=DChcSEwjuysXW--3pAhVRBpEKHdekAD0YABABGgJjZQ&sig=AOD64_3lhFc1zSlOFyXecIJ2Ubq1xLiuMg&adurl&q&ctype=99,Imobiliária Sergio Luiz
