address,details,fone,link,name,has_instagram,has_facebook,facebook_link,instagram_link,link_problem,instagram_bio_text,instagram_bio_link,instagram_username,instagram_link_problem,about_content,facebook_page_user,facebook_link_problem,ads_page_problem,library_ads_url,active_ads,created_in,instagram_page_name,instagram_posts,instagram_followers,instagram_following,facebook_page_name,facebook_likes,facebook_followers,check-ins
"R. Expedicionário Adir Jorge, 153",Imobiliária,(41) 99963-5226,http://www.mscorretor.com.br/,MS Corretor de Imóveis,False,True,http://www.facebook.com/mscorretor,,,,,,,"<div class=""_4-u2 _u9q _3xaf _4-u8""><div class=""_4-u3 _5dwa _5dwb _g3i""><span class=""_38my"">About<span class=""_c1c""></span></span><span class=""_5dw8""><a class=""_5u7u"" href=""/mscorretor/about/"">See All</a></span><div class=""_3s3-""></div></div><div><div class=""_5bl1 _4nq9""><a ajaxify=""/places/map/?id=167468016708682&amp;zoom=15"" href=""#"" rel=""dialog"" role=""button""><div aria-label=""Map attachment"" class=""_4j7v _5bld""><img alt="""" class=""_a3f img"" height=""98"" src=""https://external.fcfc2-1.fna.fbcdn.net/static_map.php?v=1021&amp;osm_provider=2&amp;size=306x98&amp;zoom=15&amp;markers=-25.53659445%2C-49.24361944&amp;language=en_US"" width=""306""/><span id=""u_0_o""><div class=""uiPopover _6a _6b""><a aria-haspopup=""menu"" class=""_6vtv _64tw _p"" href=""#"" role=""button""><div class=""_6vtw""><i alt="""" aria-label=""View Map Info"" class=""img sp_vp9RsjpFGjF sx_236c1c""></i></div></a></div></span></div></a></div></div><div class=""_2pi9 _2pi2""><div class=""clearfix _ikh""><div class=""_4bl7""><img alt=""Highlights info row image"" class=""_3-91 _1579 img"" src=""https://static.xx.fbcdn.net/rsrc.php/v3/y5/r/vfXKA62x4Da.png""/></div><div class=""_4bl9""><div class=""_2wzd"">R. Expedicionário Adir Jorge, 153 - Alto Boqueirão (124.33 mi)<br/> Curitiba, Brazil 81850-350</div><div id=""u_0_p""><div><a data-lynx-mode=""asynclazy"" href=""https://l.facebook.com/l.php?u=http%3A%2F%2Fshare.here.com%2Fr%2Fmylocation%2Fe-eyJuYW1lIjoiTVMgQ29ycmV0b3IiLCJhZGRyZXNzIjoiUi4gRXhwZWRpY2lvblx1MDBlMXJpbyBBZGlyIEpvcmdlLCAxNTMgLSBBbHRvIEJvcXVlaXJcdTAwZTNvLCBDdXJpdGliYSwgQnJhemlsIiwibGF0aXR1ZGUiOi0yNS41MzY1OTQ0NDcyMTQsImxvbmdpdHVkZSI6LTQ5LjI0MzYxOTQ0MTk4NiwicHJvdmlkZXJOYW1lIjoiZmFjZWJvb2siLCJwcm92aWRlcklkIjoxNjc0NjgwMTY3MDg2ODJ9%3Flink%3Daddresses%26fb_locale%3Den_US%26ref%3Dfacebook&amp;h=AT2mXk447YaKY5hoGYyQ9A1239trBMCeVfARKD6quKTUF4Szb-Nhk9bF52e45w8zQ0v9cBgPjdUXsmlVrLIqtpYJPBeqZOZR-XD6dnrJL8ApzapIsuk9S428NlZts-gmPuWNOKxv0thfZg"" rel=""noopener nofollow"" target=""_blank"">Get Directions</a></div></div></div></div></div><div class=""_2pi9 _2pi2""><div class=""clearfix _ikh""><div class=""_4bl7""><img alt=""Highlights info row image"" class=""_3-91 _1579 img"" src=""https://static.xx.fbcdn.net/rsrc.php/v3/yW/r/mYv88EsODOI.png""/></div><div class=""_4bl9""><div>(41) 99963-5226</div></div></div></div><div class=""_2pi9 _2pi2""><div class=""clearfix _ikh""><div class=""_4bl7""><img alt=""Highlights info row image"" class=""_3-91 _1579 img"" src=""https://static.xx.fbcdn.net/rsrc.php/v3/y5/r/SSEf0jMMMxV.png""/></div><div class=""_4bl9""><div></div><div class=""_3ln4""><a href=""#"" id=""u_0_q"" rel=""dialog"" role=""button"">Contact MS Corretor on Messenger</a></div></div></div></div><div class=""_2pi9 _2pi2""><div class=""clearfix _ikh""><div class=""_4bl7""><img alt=""Highlights info row image"" class=""_3-91 _1579 img"" src=""https://static.xx.fbcdn.net/rsrc.php/v3/yx/r/xVA3lB-GVep.png""/></div><div class=""_4bl9 _v0m""><div id=""u_0_r""><div id=""u_0_s""><div><a data-lynx-mode=""asynclazy"" href=""https://l.facebook.com/l.php?u=http%3A%2F%2Fmscorretor.com.br%2F&amp;h=AT2XmsiMrq2lpeHcMKpmwEnGA9NPFKZJNWoSveLZ1FeAbyXuQWT8bNgJjWhRBRXrFq4Ahb4zN0hiLN6tBIcQNOgXr-TOj8WWsISsRRcxusJRvO_WdkxCbnw0sQ5e_qjucAKYWi7bRByNvA"" rel=""noopener nofollow"" target=""_blank""><span class=""fwb""></span></a><a data-ft='{""tn"":""-U""}' data-lynx-mode=""asynclazy"" href=""https://l.facebook.com/l.php?u=http%3A%2F%2Fmscorretor.com.br%2F&amp;h=AT0HcAJTKYoxCkRO7SPdPkePVQST0j_I24JeVIUZayMAAZx_b_BU73YEOYmMKqmy_Kt6oS9ch5xh09k3CzMX9K1O3B6QjlGhHkr_ybNqAO7gbI5HAwv0Qp9FVQUdjjiv5ejmTB18qPL4yfY-"" rel=""noopener nofollow"" target=""_blank"">mscorretor.com.br</a></div></div></div></div></div></div><div class=""_2pi9 _2pi2""><div class=""clearfix _ikh""><div class=""_4bl7""><img alt=""Highlights info row image"" class=""_3-91 _1579 img"" src=""https://static.xx.fbcdn.net/rsrc.php/v3/yD/r/3p4bS7tzZi_.png""/></div><div class=""_4bl9""><div>+55 41 99963-5226</div></div></div></div><div><div class=""clearfix _ikh""><div class=""_4bl7""><div class=""_2pi9 _2pi2""><div class=""clearfix _ikh""><div class=""_4bl7""><img alt=""Highlights info row image"" class=""_3-91 _1579 img"" src=""https://static.xx.fbcdn.net/rsrc.php/v3/yl/r/LwDWwC1d0Rx.png""/></div><div class=""_4bl9""><div><a href=""/search/?bqf=str%2FReal%2BEstate%2BAgent%2Fkeywords_pages&amp;ref=page_about_category&amp;f=AbrToyP5jpXrUfXca4rpTI-dqhYp3YoAuWxMPxIkf4yMVZbQO29vmPHgI_g7kUiao3R-DkQNXyyHZYA9T5K32h5zvTNhaPLyClZMoion84OVwSkJSrETavvfUEU1LtXDVg8"">Real Estate Agent</a> · <a href=""/search/?bqf=str%2FLocal%2BService%2Fkeywords_pages&amp;ref=page_about_category&amp;f=AbqVle8ONJw-O-3UCkt7t_TpZi7Wra2zeczcWdLVGft0wIqkieA6OlHrexYkX2f-We92z8xTbFrsDuZ2i2KvqNudFO91qcZCB6LTwzwLOvWZyw"">Local Service</a></div></div></div></div></div></div></div><div class=""_2pi9 _2pi2""><div class=""clearfix _ikh""><div class=""_4bl7""><img alt=""Highlights info row image"" class=""_3-91 _1579 img"" src=""https://static.xx.fbcdn.net/rsrc.php/v3/yu/r/4h6_6JNubl-.png""/></div><div class=""_4bl9""><div>Price Range $$</div></div></div></div><div class=""_2pi9 _2pi2""><div class=""clearfix _ikh""><div class=""_4bl7""><img alt=""Highlights info row image"" class=""_3-91 _1579 img"" src=""https://static.xx.fbcdn.net/rsrc.php/v3/yq/r/kxxqUHJ9GPN.png""/></div><div class=""_4bl9""><a href=""/mscorretor/about/""><div>Impressum</div></a></div></div></div><div class=""_2pi9 _2pi2""><div class=""clearfix _ikh""><div class=""_4bl7""><img alt=""Highlights info row image"" class=""_3-91 _1579 img"" src=""https://static.xx.fbcdn.net/rsrc.php/v3/yd/r/5S4XsEXBmrG.png""/></div><div class=""_4bl9""><div>Opens tomorrow</div><div><span class=""_14-5"">Closed Now</span></div></div></div></div></div>",@mscorretor,,,https://pt-br.facebook.com/ads/library/?active_status=all&ad_type=all&country=BR&impression_search_field=has_impressions_lifetime&view_all_page_id=167468016708682&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped,0,2012-12-04 00:00:00,,,,,MS Corretor,1452,1449,245
"R. Cap. João Ribas de Oliveira, 483/1",Imobiliária,(41) 3151-2833,http://www.oliveiraefurquimimoveis.com.br/sobre,J.Furquim Imoveis,False,True,https://www.facebook.com/OliveiraFurquimImoveis/?eid=ARDzQol5sNAguef5Ocp_zWo9q545_IRKTGHngN1X_0eKP-mza506hcLHuNgaPC4U5j5GC-aHBohJrViA&timeline_context_item_type=intro_card_work&tim,,,,,,,"<div class=""_4-u2 _u9q _3xaf _4-u8""><div class=""_4-u3 _5dwa _5dwb _g3i""><span class=""_38my"">About<span class=""_c1c""></span></span><span class=""_5dw8""><a class=""_5u7u"" href=""/OliveiraFurquimImoveis/about/"">See All</a></span><div class=""_3s3-""></div></div><div><div class=""_5bl1 _4nq9""><a ajaxify=""/places/map/?id=449410355596720&amp;zoom=15"" href=""#"" rel=""dialog"" role=""button""><div aria-label=""Map attachment"" class=""_4j7v _5bld""><img alt="""" class=""_a3f img"" height=""98"" src=""https://external.fcfc2-1.fna.fbcdn.net/static_map.php?v=1021&amp;osm_provider=2&amp;size=306x98&amp;zoom=15&amp;markers=-25.46490000%2C-49.24647000&amp;language=en_US"" width=""306""/><span id=""u_0_o""><div class=""uiPopover _6a _6b""><a aria-haspopup=""menu"" class=""_6vtv _64tw _p"" href=""#"" role=""button""><div class=""_6vtw""><i alt="""" aria-label=""View Map Info"" class=""img sp_vp9RsjpFGjF sx_236c1c""></i></div></a></div></span></div></a></div></div><div class=""_2pi9 _2pi2""><div class=""clearfix _ikh""><div class=""_4bl7""><img alt=""Highlights info row image"" class=""_3-91 _1579 img"" src=""https://static.xx.fbcdn.net/rsrc.php/v3/yW/r/mYv88EsODOI.png""/></div><div class=""_4bl9""><div>(41) 3151-2833</div></div></div></div><div class=""_2pi9 _2pi2""><div class=""clearfix _ikh""><div class=""_4bl7""><img alt=""Highlights info row image"" class=""_3-91 _1579 img"" src=""https://static.xx.fbcdn.net/rsrc.php/v3/yx/r/xVA3lB-GVep.png""/></div><div class=""_4bl9 _v0m""><div id=""u_0_p""><div id=""u_0_q""><div><a data-lynx-mode=""asynclazy"" href=""https://l.facebook.com/l.php?u=http%3A%2F%2Fwww.oliveiraefurquimimoveis.com.br%2F&amp;h=AT3FxnqKvtz55gT648BIfv5p8uLocujoL4rhQd_w5lBEk4uSgjzm3fUObG2yPQi4Kyr6_9OixmvlZMbtsghE1ynMDwYfJXnKIFBVMnBCW-4JyYH7UN4QdT4dnuw6SXSOx3sczwSap39uFQ"" rel=""noopener nofollow"" target=""_blank""><span class=""fwb""></span></a><a data-ft='{""tn"":""-U""}' data-lynx-mode=""asynclazy"" href=""https://l.facebook.com/l.php?u=http%3A%2F%2Fwww.oliveiraefurquimimoveis.com.br%2F&amp;h=AT337dUcdwDgVN7FDh0V4dFxoqfTkUoUEcAHZL4ZP_DHtxTR-aTx7D-wMS_HtBrnnpFbIlT4wNwa56nXiVbRteokT2JT4wGkj5GAc3F5rhrBaH0nqq9KHB0xTswE0VZsuIUWV-odYlhtdsDr"" rel=""noopener nofollow"" target=""_blank"">www.oliveiraefurquimimoveis.com.br</a></div></div></div></div></div></div><div><div class=""clearfix _ikh""><div class=""_4bl7""><div class=""_2pi9 _2pi2""><div class=""clearfix _ikh""><div class=""_4bl7""><img alt=""Highlights info row image"" class=""_3-91 _1579 img"" src=""https://static.xx.fbcdn.net/rsrc.php/v3/yl/r/LwDWwC1d0Rx.png""/></div><div class=""_4bl9""><div><a href=""/search/?bqf=str%2FReal%2BEstate%2BService%2Fkeywords_pages&amp;ref=page_about_category&amp;f=Aboxz-jN9vSvqMHXHTBEFBiEt-2AMuKnQ9XSFUhgcGk8zNuZZxlOdbeP5AdWpUdPpqm9dDWajsAChUzFXJM1MbK0Upf_LNwUdQ3j5IvOv14wfU4IRiGYscQLzJjpBVzZKvo"">Real Estate Service</a></div></div></div></div></div></div></div><div class=""_2pi9 _2pi2""><div class=""clearfix _ikh""><div class=""_4bl7""><img alt=""Highlights info row image"" class=""_3-91 _1579 img"" src=""https://static.xx.fbcdn.net/rsrc.php/v3/yu/r/4h6_6JNubl-.png""/></div><div class=""_4bl9""><div>Price Range $$$$</div></div></div></div><div class=""_2pi9 _2pi2""><div class=""clearfix _ikh""><div class=""_4bl7""><img alt=""Highlights info row image"" class=""_3-91 _1579 img"" src=""https://static.xx.fbcdn.net/rsrc.php/v3/yd/r/5S4XsEXBmrG.png""/></div><div class=""_4bl9""><div>Opens tomorrow</div><div><span class=""_14-5"">Closed Now</span></div></div></div></div></div>",@OliveiraFurquimImoveis,True,,https://pt-br.facebook.com/ads/library/?active_status=all&ad_type=all&country=BR&impression_search_field=has_impressions_lifetime&view_all_page_id=449410355596720&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped,0,2019-02-26 00:00:00,,,,,Oliveira & Furquim Imóveis,76,78,245
"Tv. Ferreira do Amaral, 20 - Loja 06",Imobiliária,(41) 3342-1516,http://www.galoimoveis.com.br/,Galo Imobiliária,False,False,,,,,,,,,,,,,,,,,,,,,,
"Av. Pres. Getúlio Vargas, 2932",Imobiliária,(41) 3022-6266,http://www.origemimoveis.com.br/,Origem Imóveis,False,False,,,,,,,,,,,,,,,,,,,,,,
"R. Armando Sáles de Oliveira, 354",Imobiliária,(41) 3093-7888,https://www.onimaximoveis.com.br/contato.php,ONIMAX IMÓVEIS,False,True,,,,,,,,,,,,,,,,,,,,,,
Curitiba,,(41) 99684-7181,https://www.airbnb.com.br/rooms/17196270?s=51,Amazing Apartment in Curitiba,True,True,https://www.facebook.com/AirbnbBrasil,https://b,,The well-being of our community is our top priority. Please check this link for the latest information from Airbnb on COVID-19.,https://l.instagram.com/?u=http%3A%2F%2Fabnb.co%2Finstagram&e=ATPWwiiFqAieJDiyogoufMKqQCaXCaGeKX0Zu9fuQxBTamSX4tfKdTwwzn6w1onOgQrEVbnxQ6EplD0Z&s=1,airbnb,,"<div class=""_4-u2 _u9q _3xaf _4-u8""><div class=""_4-u3 _5dwa _5dwb _g3i""><span class=""_38my"">About<span class=""_c1c""></span></span><span class=""_5dw8""><a class=""_5u7u"" href=""/AirbnbBrasil/about/"">See All</a></span><div class=""_3s3-""></div></div><div class=""_2pi9 _2pi2""><div class=""clearfix _ikh""><div class=""_4bl7""><img alt=""Highlights info row image"" class=""_3-91 _1579 img"" src=""https://static.xx.fbcdn.net/rsrc.php/v3/yW/r/mYv88EsODOI.png""/></div><div class=""_4bl9""><div>0800 878 7918</div></div></div></div><div class=""_2pi9 _2pi2""><div class=""clearfix _ikh""><div class=""_4bl7""><img alt=""Highlights info row image"" class=""_3-91 _1579 img"" src=""https://static.xx.fbcdn.net/rsrc.php/v3/yx/r/xVA3lB-GVep.png""/></div><div class=""_4bl9 _v0m""><div id=""u_0_o""><div id=""u_0_p""><div><a data-lynx-mode=""asynclazy"" href=""https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.airbnb.com.br%2F&amp;h=AT33hVbLWcyPQ2PxUQUUqchuDVwBUPeY-xDiH3RPXyLLeS4WqqNWrdLxWGj5vYAyCwyD8dg1HGG3b71METeTxp0Hi4MLLZQ98EoxiAjstEuliDPue7imnBAixty5mj-EE-gmmd-DNjcNSw"" rel=""noopener nofollow"" target=""_blank""><span class=""fwb""></span></a><a data-ft='{""tn"":""-U""}' data-lynx-mode=""async"" href=""https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.airbnb.com.br%2F&amp;h=AT3mOSKgQ35qhRnfvpiX0Mh3fd8BGOleqMWNPXtlyAtYZl-k31DgGBSlZz_MdGHjcmmPWcEhAZnALsR5Df3n6rYcLByC48NRoiulGzCuYqUx4Rc0BU5666t3OML6K9zSck7Y04kDIm3wRq6c5cJLuhoiAzVVtQ"" rel=""noopener nofollow"" target=""_blank"">www.airbnb.com.br</a></div></div></div></div></div></div><div><div class=""clearfix _ikh""><div class=""_4bl7""><div class=""_2pi9 _2pi2""><div class=""clearfix _ikh""><div class=""_4bl7""><img alt=""Highlights info row image"" class=""_3-91 _1579 img"" src=""https://static.xx.fbcdn.net/rsrc.php/v3/yl/r/LwDWwC1d0Rx.png""/></div><div class=""_4bl9""><div><a href=""/pages/category/travel-site/"">Local &amp; Travel Website</a> · <a href=""/pages/category/travel-transportation/"">Travel &amp; Transportation</a></div></div></div></div></div></div></div></div>",@AirbnbBrasil,True,True,https://pt-br.facebook.com/ads/library/?active_status=all&ad_type=all&country=BR&impression_search_field=has_impressions_lifetime&view_all_page_id=120382941457161&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped,0,2012-04-12 00:00:00,Airbnb,2670,4700000,1584,Airbnb,16188378,16209865,245
"R. Manoel Eufrásio, 784",Imobiliária,(41) 3015-2323,http://www.imoveisgh.com.br/,Imobiliária Green House Ltda,,,,,True,,,,,,,,,,,,,,,,,,,
"R. Des. José Carlos Ribeiro Ribas, 945",Imobiliária,(41) 99657-9793,http://www.imovelemcuritiba.com.br/,Imóvel em Curitiba,False,True,https://www.facebook.com/Im%C3%B3vel-em-Curitiba-493504327339796/,,,,,,,"<div class=""_4-u2 _u9q _3xaf _4-u8""><div class=""_4-u3 _5dwa _5dwb _g3i""><span class=""_38my"">About<span class=""_c1c""></span></span><span class=""_5dw8""><a class=""_5u7u"" href=""/imovelemctba/about/"">See All</a></span><div class=""_3s3-""></div></div><div><div class=""_5bl1 _4nq9""><a ajaxify=""/places/map/?id=493504327339796&amp;zoom=15"" href=""#"" rel=""dialog"" role=""button""><div aria-label=""Map attachment"" class=""_4j7v _5bld""><img alt="""" class=""_a3f img"" height=""98"" src=""https://external.fcfc2-1.fna.fbcdn.net/static_map.php?v=1021&amp;osm_provider=2&amp;size=306x98&amp;zoom=15&amp;markers=-25.40433310%2C-49.32787530&amp;language=en_US"" width=""306""/><span id=""u_0_o""><div class=""uiPopover _6a _6b""><a aria-haspopup=""menu"" class=""_6vtv _64tw _p"" href=""#"" role=""button""><div class=""_6vtw""><i alt="""" aria-label=""View Map Info"" class=""img sp_vp9RsjpFGjF sx_236c1c""></i></div></a></div></span></div></a></div></div><div class=""_2pi9 _2pi2""><div class=""clearfix _ikh""><div class=""_4bl7""><img alt=""Highlights info row image"" class=""_3-91 _1579 img"" src=""https://static.xx.fbcdn.net/rsrc.php/v3/yW/r/mYv88EsODOI.png""/></div><div class=""_4bl9""><div>(41) 98700-3771</div></div></div></div><div class=""_2pi9 _2pi2""><div class=""clearfix _ikh""><div class=""_4bl7""><img alt=""Highlights info row image"" class=""_3-91 _1579 img"" src=""https://static.xx.fbcdn.net/rsrc.php/v3/y5/r/SSEf0jMMMxV.png""/></div><div class=""_4bl9""><div></div><div class=""_3ln4""><a href=""#"" id=""u_0_p"" rel=""dialog"" role=""button"">Contact Imóvel em Curitiba on Messenger</a></div></div></div></div><div class=""_2pi9 _2pi2""><div class=""clearfix _ikh""><div class=""_4bl7""><img alt=""Highlights info row image"" class=""_3-91 _1579 img"" src=""https://static.xx.fbcdn.net/rsrc.php/v3/yx/r/xVA3lB-GVep.png""/></div><div class=""_4bl9 _v0m""><div id=""u_0_q""><div id=""u_0_r""><div><a data-lynx-mode=""asynclazy"" href=""https://l.facebook.com/l.php?u=http%3A%2F%2Fwww.imovelemcuritiba.com.br%2F&amp;h=AT1tvQpjQsLws_tEFQQnvJEa4d06TLotO-i5jo-7CqSHPslHfArW8eGbMWNBVOiiz449Eo_VCjc1u1bKyuf0lPWDf4VZE9_KjAazUN8wUR6uxf-0DhgELVgF1I153pEb-UNFqilGyol21A"" rel=""noopener nofollow"" target=""_blank""><span class=""fwb""></span></a><a data-ft='{""tn"":""-U""}' data-lynx-mode=""asynclazy"" href=""https://l.facebook.com/l.php?u=http%3A%2F%2Fwww.imovelemcuritiba.com.br%2F&amp;h=AT0ATM5Yl1u9xVeHAymmjKnTaF-17IIVEC_vdDfozqd63YKmgz5Q_Vnb5eeVXBD4DaRNOLdsz6PEZnHMP802SgpFDo7SLB2lZeEJvUhKw89wU4iSv-gNK-UNEZYi-eA0Eu_LpsJivwwgfgZ3"" rel=""noopener nofollow"" target=""_blank"">www.imovelemcuritiba.com.br</a></div></div></div></div></div></div><div><div class=""clearfix _ikh""><div class=""_4bl7""><div class=""_2pi9 _2pi2""><div class=""clearfix _ikh""><div class=""_4bl7""><img alt=""Highlights info row image"" class=""_3-91 _1579 img"" src=""https://static.xx.fbcdn.net/rsrc.php/v3/yl/r/LwDWwC1d0Rx.png""/></div><div class=""_4bl9""><div><a href=""/search/?bqf=str%2FLocal%2BService%2Fkeywords_pages&amp;ref=page_about_category&amp;f=AbpTj7IrqQsBYK-whibY6B-E5hTtxizmkgr_LZ8LI5k12zN-UycwTOhe6R9--xrQOV-GBmc0YB-kbu2qlkxKm0-nasBnjG8RECwNYFdIEejBOg"">Local Service</a> · <a href=""/search/?bqf=str%2FReal%2BEstate%2BAgent%2Fkeywords_pages&amp;ref=page_about_category&amp;f=AbqsZYfl4SBTbL5QkipeYyt_SiROWbHcFUV8ts-_FZuP51O_rOVLx8F4AyaQhESFFJWhTuHqHeT6Y2nwPwwc5kXz09IIl5nrcBvH6TNtfKRv-wAfgrkfBmjBZEKDuhsMNaM"">Real Estate Agent</a></div></div></div></div></div></div></div><div class=""_2pi9 _2pi2""><div class=""clearfix _ikh""><div class=""_4bl7""><img alt=""Highlights info row image"" class=""_3-91 _1579 img"" src=""https://static.xx.fbcdn.net/rsrc.php/v3/yu/r/4h6_6JNubl-.png""/></div><div class=""_4bl9""><div>Price Range $$</div></div></div></div><div class=""_2pi9 _2pi2""><div class=""clearfix _ikh""><div class=""_4bl7""><img alt=""Highlights info row image"" class=""_3-91 _1579 img"" src=""https://static.xx.fbcdn.net/rsrc.php/v3/yd/r/5S4XsEXBmrG.png""/></div><div class=""_4bl9""><div>Hours </div><div><span class=""_14-3"">Always Open</span></div></div></div></div></div>",@imovelemctba,True,,https://pt-br.facebook.com/ads/library/?active_status=all&ad_type=all&country=BR&impression_search_field=has_impressions_lifetime&view_all_page_id=493504327339796&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped,0,2012-04-12 00:00:00,,,,,Imóvel em Curitiba,1028,1034,
"Av. Pres. Kennedy, 1215",Imobiliária,(41) 4004-9000,http://www.mrv.com.br/,MRV,True,True,https://www.facebook.com/mrv.responde,https://www.instagram.com/mrv/,,Há 40 anos construímos #sonhosquetransformam o mundo! 🏠Quer ver seu apê aqui no nosso feed? Poste uma foto com a hashtag #MRVdecora!📸,https://l.instagram.com/?u=http%3A%2F%2Fmrv.vc%2Finstabio&e=ATNoh0GDnsDKxSoNwnqEWeYLUZZVbULSFEXIVoU1q_UKKWPUeIfRoFzfC-tEv0dfnmpc6l79TMVNypAk&s=1,mrv,,None,,True,,,,,MRV,1546,438000,145,,,,
"Av. Iguaçu, 1748",Imobiliária,(41) 3223-8015,http://www.romai.com.br/,Roma Imóveis,False,False,,,,,,,,,,,,,,,,,,,,,,
