address,classification,details,fone,link,name,position
"       R. Prof. Cleto, 31 - Centro, União da Vitória - PR, 84600-000      ","4,8",Loja de Roupa,       (42) 3522-1053      ,,Loja Falk 's Masculina e Feminina,1
"       Av. Paula Freitas, 1144 - sl 2 - Nossa Sra. da Salete, União da Vitória - PR, 84600-000      ","4,7",Loja de Roupa,       (42) 3524-7026      ,       facebook.com      ,Ki Mania,2
"       R. Profa. Amazília, 182 - Centro, União da Vitória - PR, 84600-000      ","4,6",Loja de Roupa,       (42) 3522-4343      ,,Vencedora Calçados e Confecções,3
"       R. Cruz Machado, 144 - Centro, União da Vitória - PR, 84600-000      ",,Loja de Roupa,       (42) 3522-6692      ,,Lojas Top 10 União da Vitória,4
"       Av. Interventor Manoel Ribas, 102 - Centro, União da Vitória - PR, 84600-000      ","4,5",Loja de moda feminina,       (42) 3522-5191      ,,Chocolate com Pimenta,5
"       Av. Interventor Manoel Ribas, 439 - Centro, União da Vitória - PR, 84600-280      ","4,5",Loja de Roupa,       (42) 3524-4993      ,       lojaodokeima.com.br      ,Lojão do Keima,6
"       R. Profa. Amazília - Centro, União da Vitória - PR, 84600-000      ","4,4",Loja de Roupa,,,Loja Casual,7
"       R. Carlos Cavalcante, 141 - Centro, União da Vitória - PR, 84600-000      ","5,0",Loja de moda feminina,       (42) 3522-0116      ,       reverty.com.br      ,Loja Reverty,8
"       Av. Interventor Manoel Ribas, 665 - Centro, União da Vitória - PR, 84600-000      ","4,0",Loja de Roupa,       (42) 3524-3810      ,,Belíssima moda e acessórios,9
"       R. Alm. Barroso, 311 - Centro, União da Vitória - PR, 84600-000      ","4,8",Loja de Roupa,       (42) 3522-4041      ,,Patrícia Malhas Ltda,10
"       Av. Interventor Manoel Ribas, 427 - Centro, União da Vitória - PR, 84600-280      ","4,2",Loja de Roupa,       (42) 3522-9024      ,       maiseconomica.com.br      ,Loja Mais Economica,11
"       R. Carlos Cavalcante, 89 - Centro, União da Vitória - PR, 84600-000      ","5,0",Loja de moda feminina,       (42) 3522-2445      ,,Loja Olga Confecções,12
"       Av. Interventor Manoel Ribas, 355 - Centro, União da Vitória - PR, 84600-000      ","4,8",Loja de Roupa,       (42) 3522-9478      ,       ciadamalha.com.br      ,Cia da malha - União da Vitória,13
"       R. Prof. Cleto, 36 - Centro, União da Vitória - PR, 84600-140      ",,Loja de Roupa,       (42) 3523-3094      ,       facebook.com      ,Azaff Concept,14
"       Av. Cel. Amazonas, 384 - Navegantes, União da Vitória - PR, 84600-000      ","4,6",Loja de moda feminina,       (42) 99947-7167      ,       lojaded.com.br      ,DED Moda Íntima,15
"       R. Carlos Cavalcante, 78 - Centro, União da Vitória - PR, 84600-000      ","4,5",Loja de moda masculina,       (42) 3522-4850      ,       espacomasculino.com.br      ,Espaço Masculino,16
"       R. Prof. Cleto, nº 51 - Centro, União da Vitória - PR, 84600-140      ","4,5",Loja de Roupa,       (42) 3522-3249      ,       zpp.com.br      ,Zipperer,17
"       R. Profa. Amazília, 165 - Centro, União da Vitória - PR, 84600-000      ",,Loja de Roupa,       (42) 3522-6211      ,,Destake Modas,18
"       Av. Interventor Manoel Ribas, 232 - Centro, União da Vitória - PR, 84600-000      ","4,0",Loja de Roupa,       (42) 3524-7939      ,,Loja Mineirinha Moda e Acesorios,19
"       R. Costa Carvalho, 344 - Centro, União da Vitória - PR, 84600-000      ","5,0",Loja de Roupa,       (42) 3523-2463      ,,Ell Malhas,20
"       R. Carlos Cavalcante, 140 - Centro, União da Vitória - PR, 84600-130      ","5,0",Loja de Roupa,       (42) 3577-0101      ,       lojachezelle.com.br      ,Chez Elle,1
"       Av. Interventor Manoel Ribas, 310 - Centro, União da Vitória - PR, 84600-000      ","5,0",Loja de Roupa,       (42) 3524-7058      ,       hering.com.br      ,Hering,2
"       R. Prof. Cleto, 81 - Centro, União da Vitória - PR, 84600-140      ","4,8",Loja de Roupa,       (42) 3522-8008      ,       colcciuniaodavitoria.com.br      ,Colcci União,3
"       Av. Interventor Manoel Ribas, 509 - Centro, União da Vitória - PR, 84600-000      ",,Loja de Roupa,       (42) 3522-3398      ,,Abrazzo,4
"       Av. Interventor Manoel Ribas, 232 - Centro, União da Vitória - PR, 84600-280      ","5,0",Loja de Roupa,       (42) 3522-3596      ,,Glamour,5
"       Av. Interventor Manoel Ribas, 460 - Centro, União da Vitória - PR, 84600-000      ","3,4",Loja de Roupa,       (42) 3522-1945      ,,CASA DAS NOIVAS,6
"       R. Ipiranga, 305 - Centro, União da Vitória - PR, 84600-000      ","3,0",Loja de Roupa,       (42) 3523-4904      ,,Passos Confecções,7
"       Av. Getúlio Vargas, 20 - Centro, União da Vitória - PR, 84600-170      ","4,3",Loja de móveis,       (42) 3522-2042      ,,Loja Ótima,8
"       R. Siqueira Campos, 41 - Centro, União da Vitória - SC, 89400-000      ",,Loja de Roupa,       (42) 3524-4154      ,       facebook.com      ,Sunset Moda Masculina,9
"       R. Cel. Amazonas, 648 - Navegantes, União da Vitória - PR, 84600-081      ","5,0",Loja de Roupa,       (42) 99156-2897      ,       mdk-flores.negocio.site      ,Joya Made STORE,10
"       R. Carlos Cavalcante, 141 A - Centro, União da Vitória - PR, 84600-000      ",,Loja de Roupa,,,Loja Élles,11
"       Av. Interventor Manoel Ribas, 91 - Centro, União da Vitória - PR, 84600-000      ",,Loja de Roupa,       (42) 3523-4665      ,,Kerlin Modas Ltda,12
"       Av. Interventor Manoel Ribas, 427 - Centro, União da Vitória - PR, 84600-000      ",,Loja de Roupa,       (42) 3522-9024      ,       maiseconomica.com.br      ,Loja Mais Economica,13
"       Av. Interventor Manoel Ribas, 455 - Centro, União da Vitória - PR, 84600-000      ",,Loja de Roupa,       (42) 99957-5378      ,,Gabriella Modas,14
"       R. Prof. Cleto, 19 - Centro, União da Vitória - PR, 84600-000      ","5,0",Loja de moda infantil,       (42) 3522-0996      ,,Abrahão Abrahão,15
"       R. Carlos Cavalcante, 254 - Centro, União da Vitória - PR, 84165-650      ",,Loja de roupas para bebês,       (42) 3523-3892      ,,Bubbles Baby e Kids,16
"       R. Cruz Machado, 151 - Centro, União da Vitória - PR, 84600-000      ","5,0",Loja de Roupa,       (42) 3522-5229      ,       evolucaomilitar.com.br      ,Evolução Militar,17
"       R. Ipiranga, 129 - Centro, União da Vitória - PR, 84600-000      ","4,6",Loja de vestidos de noiva,       (42) 3522-4431      ,       facebook.com      ,Cores e Brilhos,18
"       R. Prudente de Morais, Número 153 - Centro, União da Vitória - SC, 89400-000      ",,Loja de Roupa,,,Jeans Store Porto União,19
"       Av. Interventor Manoel Ribas, 427 - Centro, União da Vitória - PR, 84600-000      ",,Loja de Roupa,       (42) 3522-9024      ,       maiseconomica.com.br      ,Loja Mais Economica,20
"       R. Siqueira Campos, 114 - Centro, Porto União - SC, 89400-000      ","4,5",Loja de Roupa,       (42) 3522-0590      ,       ciadamalha.com.br      ,Cia da malha - Porto União,1
