address,classification,details,fone,link,name,position,link_problem,has_instagram,has_facebook,facebook_link,instagram_link
"R. Heitor Liberato, 1041 - Sala 01","4,4",Clínica odontológica, (47) 3048-5005 · ,/aclk?sa=l&ai=DChcSEwj46ufvqdjrAhWPC5EKHTK0B8kYABAAGgJjZQ&sig=AOD64_1AjEXuuLLST-jOgmb18HPgiLx5Rg&adurl&q&ctype=99,OrthoDontic - Dentista Aparelho Ortodôntico em Itajaí SC - Clareamento - Clínica Especializada - Aparelho Dentário - Limpeza Dental - Aparelho Invisível - Aparelho Dentário Estético em Itajaí,1,True,,,,
"R. Samuel Heusi, 356","3,8",Cirurgião dentista, (47) 3046-9090 · ,/aclk?sa=l&ai=DChcSEwj46ufvqdjrAhWPC5EKHTK0B8kYABABGgJjZQ&sig=AOD64_3YYCRr4vEjUmqadEQyRzL_LvRBCA&adurl&q&ctype=99,Conquist Odontologia,2,True,,,,
"Avenida Coronel Marcos Konder, 1313 - salas 602 e 604","5,0",Clínica odontológica, (47) 3348-7171 · ,http://www.clinicaviadental.com.br/,Via Dental Clínica Odontológica,3,True,,,,
"Av. Sete de Setembro, 100 - 1° Andar","5,0",Clínica odontológica, (47) 3045-3565 · ,,Clínica Dentária Popular,4,,,,,
"R. Dr. Nereu Ramos, 97","3,5",Clínica odontológica, (47) 3083-9090 · ,http://oralunicitajai.com.br/,Clínica Oral Unic Itajaí,5,,True,True,https://www.facebook.com/oralunic,https://www.instagram.com/oralunicuberlandia/
"R. São Cristóvão, 657","4,6",Clínica odontológica, (47) 3346-1321 · ,http://www.ceb.odo.br/,Clínica de Estetica Bucal Wardani,6,,False,True,https://www.facebook.com/clinicaCEB,
"R. José Pereira Liberato, 380","3,8",Clínica odontológica, (47) 3344-5517 · ,,Clínica Dentária Tiradentes,7,,,,,
"R. Dr. José Bonifácio Malburg, 64",,Clínica odontológica, (47) 3046-0969 · ,,Consultório de Odontologia Itajaí,8,,,,,
"R. Lauro Muller, 760","5,0",Dentista, (47) 3348-7282 · ,http://www.coeitajai.com.br/,COE Centro de Odontologia Especializada,9,True,,,,
"R. Dr. Reinaldo Schmithausen, 1200","3,5",Clínica odontológica, (47) 3083-2200 · ,https://odonto-excellence-itajai.negocio.site/?utm_source=gmb&utm_medium=referral,Odonto Excellence Itajaí - Cordeiros,10,,False,False,,
"R. Estefano José Vanolli, 1305","4,6",Clínica odontológica, (47) 3363-7574 · ,http://www.clinicasuniao.com.br/,Consultório União Itajaí (São Vicente),11,,False,False,,
Av. Osvaldo Reis,"5,0",Clínica odontológica, (47) 2125-3699 · ,https://www.facebook.com/bravasorriso,Dentista Brava Sorriso | odontologia | clinica odontológica | limpeza de dentes | clareamento,12,,True,True,https://web.facebook.com/bravasorriso/posts,
"R. Joinville, 388",,Dentista,  · ,,Clínica Odontologica Marcelo,13,,,,,
"R. Dr. Nereu Ramos, 79","5,0",Clínica odontológica, (47) 2125-1327 · ,https://dentelli.com.br/,Dentelli Odontologia,14,True,,,,
"R. Hercílio Luz, 491","3,1",Clínica odontológica, (47) 3346-3126 · ,,União Odontologia,15,,,,,
"R. Herculano Corrêa, 150","4,8",Clínica odontológica, (47) 3514-7504 · ,http://www.odontocompany.com/,OdontoCompany,16,,True,True,https://www.facebook.com/odontocompany/,https://www.instagram.com/odontocompany/
"Rua Felipe Schmidt, 370 - Andar Térreo",,Clínica odontológica, (47) 3021-7569 · ,https://sorridents.com.br/itajai/,Sorridents Clínica Odontológica,17,True,,,,
