address,classification,details,fone,link,name,position,has_instagram,has_facebook,facebook_link,instagram_link,link_problem
"R. Cruz Machado, 468 - 5","5,0",Clínica odontológica, (42) 3522-5787 · ,https://www.facebook.com/masterclinicodontologiaespecializada/?ref=bookmarks,Master Clinic Odontologia Especializada,1,True,True,https://web.facebook.com/masterclinicodontologiaespecializada/posts,,
"R. Dom Pedro II, 647","4,3",Clínica odontológica, (42) 3522-5930 · ,,Comdent Odontologia,2,,,,,
"Av. Interventor Manoel Ribas, 290 - sala 1",,Clínica odontológica, (42) 3523-8532 · ,http://www.odontocompany.com/uniaodavitoria,OdontoCompany,3,True,True,https://www.facebook.com/odontocompany/,https://www.instagram.com/odontocompany/,
"R. Clotário Portugal, 1252","5,0",Dentista, (42) 3522-3906 · ,https://clinica-odontologica-dr-nilo-zorzetto.negocio.site/,Clínica Odontológica Dr. Nilo Zorzetto,4,False,False,,,
"R. Cel. João Gualberto, 175","5,0",Clínica odontológica, (42) 3524-7900 · ,http://www.luizbassiemarciamoreira.com.br/,Luiz Bassi e Márcia Moreira Odontologia,5,False,True,,,
"Av. Getúlio Vargas, 186",,Dentista, (42) 3522-0047 · ,,Consultório Odontológico Dr Luiz Henrique Baniski,6,,,,,
"R. Matos Costa, 36","5,0",Dentista, (42) 3522-8793 · ,http://www.clinicasuniao.com.br/,Clínica Dentária União Porto União,7,False,False,,,
"R. Profa. Amazília, 365",,Clínica odontológica, (42) 3523-4761 · ,https://odontoexcellenceuniaodavitoria.negocio.site/?utm_source=gmb&utm_medium=referral,Odonto Excellence,8,False,False,,,
"rua Visconde de Nacar, 45 centro",,Clínica odontológica, (42) 3523-6398 · ,http://www.dentaluni.com.br/,Dental Uni,9,True,True,https://www.facebook.com/dentaluni/,https://www.instagram.com/dentaluni/,
"Av. Interventor Manoel Ribas, 790",,Clínica odontológica, (42) 3522-8217 · ,,Gilberto G Schumann Júnior,10,,,,,
"R. Dr Cruz Machado, 281",,Clínica odontológica, (42) 99815-2020 · ,,Dra. Jacqueline Baldini - Clínica Central,11,,,,,
"R. Mal. Floriano Peixoto, 357","5,0",Clínica odontológica, (42) 3522-8500 · ,https://www.facebook.com/odontocenteruniaodavitoria/,Odontocenter - Clínica Odontológica,12,True,True,https://web.facebook.com/help/cookies?ref_type=sitefooter,,
"R. Dom Pedro II, 421",,Clínica odontológica, (42) 3523-6356 · ,,Centro de Implantes e Reabilitação Oral,13,,,,,
"R. Castro Alves, 175","5,0",Clínica odontológica, (42) 3523-4979 · ,,Luiz Bassi Netto,14,,,,,
"R. Ipiranga, 476","5,0",Dentista, (42) 3523-1916 · ,https://www.facebook.com/leonardo.iwanko,Dr. Leonardo Jorge Iwanko,15,True,True,https://es-la.facebook.com/people/Leonardo-Cruz/100043804238203,,
"R. Alm. Barroso, 333",,Dentista, (42) 3523-7354 · ,,Luiz Gustavo Wygladala,16,,,,,
"R. Dário Antônio Bordin, 336","5,0",Clínica odontológica, (42) 3523-7239 · ,,Odontologia - Dr. Giovani Luis Ferreira e Dra. Marcia Meyer Ferreira,17,,,,,
"R. Profa. Amazília, 978","5,0",Dentista, (42) 3522-5737 · ,,Moacir Gobor Jr- Clinica Gobor,19,,,,,
"R. Dom Pedro II, 688",,Clínica odontológica, (42) 3524-3168 · ,,Espaço Oral - Clínica Odontológica,20,,,,,
"R. Costa Carvalho, 547","5,0",Clínica odontológica, (42) 3522-6209 · ,,Liziane Yokomizo Odontopediatria,21,,,,,
"R. Hermínio Milis, 212","4,7",Clínica odontológica, (42) 3523-9339 · ,https://www.facebook.com/Odontologia-Baniski-580135678691488/?pnref=lhc,Baniski Odontologia Especializada,22,True,True,https://web.facebook.com/help/cookies?ref_type=sitefooter,,
"R. Barão do Rio Branco, 145",,Clínica odontológica, (42) 3522-5874 · ,,"Otto, Virgínia C",23,,,,,
"R. Profa. Amazília, 472 - SL 302","5,0",Clínica odontológica, (42) 99975-0845 · ,http://business.google.com/website/zenonodontologia,Zenon Odontologia,25,False,False,,,
R. Costa Carvalho,"5,0",Clínica odontológica, (42) 3522-2541 · ,,Odonto Tack,27,,,,,
"R. Padre Anchieta, 31","5,0",Clínica odontológica, (42) 3523-2021 · ,,Porto Clin Odontologia e Ortodontia,29,,,,,
"R. Prudente de Morais, 430","5,0",Dentista, (42) 3522-2090 · ,http://www.cargnincardoso.com.br/,Odontologia | Cargnin Cardoso | Saúde Bucal e Beleza do Sorriso,30,,,,,True
"R. Paraná, 353","5,0",Dentista, (42) 3523-2030 · ,https://www.facebook.com/pages/Dr-Leonel-Mierzva-J%C3%BAnior-Odontologia/369244716541473,Dr. Leonel Mierzva Júnior Odontologia Especializada,31,True,True,https://web.facebook.com/help/cookies?ref_type=sitefooter,,
"Rua Ranulfo Silva Lell, 112","5,0",Ortodontista, (42) 3524-2140 · ,,Consultório Odontológico Dr. Francisco Wilmar Simm,32,,,,,
"Av. Santa Rosa, 1331",,Clínica odontológica, (42) 3523-9339 · ,,Baniski - Odontologia Especializada,33,,,,,
"Av. Interventor Manoel Ribas, 111","5,0",Clínica odontológica, (42) 3522-5087 · ,http://www.madeleineguerios.com.br/,Dra. Madeleine Ayres Guerios,34,False,True,https://www.facebook.com/,,
"R. Prudente de Morais, 116 Fundos","5,0",Clínica odontológica, (42) 3522-4900 · ,https://www.facebook.com/Odontologia-Do-Porto-109307083938388/,Clínica Odontologia do Porto,35,True,True,https://web.facebook.com/Odontologia-Do-Porto-109307083938388/posts,,
"R. José Francisco Pereira, 314",,Dentista, (42) 3523-7354 · ,,Clínica Odontologica V. H.,36,,,,,
"R. Santos Dumont, 321","5,0",Dentista, (42) 3523-2978 · ,,Consultório Odontológico Mírian Lemos Mees,37,,,,,
"Av. Interventor Manoel Ribas, 103",,Dentista, (42) 3523-1344 · ,,Adilson V Souza,38,,,,,
"R. Ipiranga, 445","5,0",Clínica odontológica, (42) 3522-5737 · ,https://www.instagram.com/dr.mateusbuch,Dr. Mateus Buch Schindler,39,True,False,,,
"R. Cruz Machado, 468",,Dentista, (42) 3522-1159 · ,,Consultório Doutora Margareth Tropak Flissak,40,,,,,
"Av. João Pessoa, 2903","5,0",Clínica odontológica, (42) 98869-4497 · ,https://www.facebook.com/drathayane.drmurilo/,Consultório Odontológico Dr. Murilo Maffezzolli & Dra. Thayane Vitorazzi,41,True,True,https://web.facebook.com/drathayane.drmurilo/services,,
"Condomínio Edifício Iguaçu Centro Coml - R. Matos Costa, 33 - Sala 503","4,7",Dentista, (42) 3523-4658 · ,,"Clinica Odonto Uniao Ltda,",42,,,,,
"R. Profa. Amazília, 733","5,0",Dentista, (42) 3523-9000 · ,http://carloswahl.wix.com/wahlodontologia#!inicio/mainPage,Dr. Carlos Wahl,45,True,True,https://www.facebook.com/wahlodontologia,https://www.instagram.com/wahl.odontologia/,
"R. Costa Carvalho, 722",,Dentista, (42) 3522-6612 · ,,Consultório Odontológico Dra Gianna Ribas,46,,,,,
"R. Cruz Machado, 362","5,0",Dentista, (42) 3522-9396 · ,,PRIME Odontologia E Estética,47,,,,,
"R. Frei Rogerio, nº 83","5,0",Clínica odontológica, (42) 99827-4826 · ,https://sites.google.com/view/sudatiroslaniec/in%C3%ADcio,Dr. Renato e Drª. Tatiane Sudati,48,False,False,,,
"R. Treze de Maio, 70","5,0",Cirurgião dentista, (42) 3522-5934 · ,http://www.facebook.com/greincavalcantiodontologia,Grein Cavalcanti Odontologia,49,True,True,https://web.facebook.com/greincavalcantiodontologia/services,,
"R. Cidadão José Lona, 519","4,0",Dentista, (42) 3524-2140 · ,,Celli & Turella Odonto Clínica,52,,,,,
"R. Paraná, 100",,Cirurgião dentista, (42) 3523-3574 · ,,Consultório Odontológico,53,,,,,
"R. Barão do Rio Branco, 101","5,0",Dentista, (42) 3523-3237 · ,,"Pogogelski, Sandro M",54,,,,,
"R. Paraná, 96","5,0",Dentista, (42) 3522-9970 · ,,Luiz Fernando Ribas,55,,,,,
"Av. Paula Freitas, 944","4,5",Cirurgião dentista, (42) 3522-7030 · ,,Clinica Odonto Vale,56,,,,,
"R. Prudente de Morais, 116","5,0",Dentista, (42) 3522-4900 · ,,Consultório Odontológico Drª Ester Farah Saliba de Paula,57,,,,,
"Rua Visconde de Nacar, 45","5,0",Saúde e segurança ocupacional, (42) 3523-6398 · ,http://ranierirepresentacoes.com.br/,Ranieri Representações,58,,,,,True
"R. Paraná, 477","5,0",Cirurgião dentista, (42) 3524-4047 · ,https://institutobrocker.com.br/,Instituto Brocker de Odontologia,59,True,True,https://www.facebook.com/institutobrockerdeodontologia,https://www.instagram.com/institutobrocker/,
"R. Santos Dumont, 339","3,3",Médico, (42) 3521-7410 · ,http://www.xmedi.com.br/,Xmedi - Clínica de Diagnóstico por Imagem,81,False,True,,,
"R. Ipiranga, 119","4,6",, (42) 3522-0713 · ,http://www.labbioclin.com.br/,BIOCLIN ANÁLISES CLÍNICAS,82,,,,,True
R. Alberto Waldraf,"4,6",Veterinário, (42) 3522-7031 · ,,Clinica Veterinária Sigley Narcizo,83,,,,,
"R. Padre Saporiti, 502","4,2",Hospital Veterinário, (42) 3522-6192 · ,http://www.uniguacu.edu.br/,Clínica Veterinária Escola Uniguaçu,85,True,True,https://www.facebook.com/uniguacu,https://www.instagram.com/uniguacu,
"R. Sete de Setembro, 674",,Pediatra, (42) 3522-9607 · ,,Sandro Wolfgang Rosenscheg,86,,,,,
"R. Antiocho Pereira, 282","5,0",Hospital, (42) 3522-6410 · ,http://angiocorclinica.com.br/,Clinica Angioc'or,87,,,,,True
"Rodovia BR 476, Km 03, s/n","4,1",Hospital Geral, (42) 3524-3388 · ,http://www.hr.org.br/,Hospital Regional de Caridade Nossa S Aparecida,88,,,,,True
"R. Carlos Cavalcante, 254","2,7",Loja de roupas para bebês, (42) 3523-3892 · ,,Bubbles Baby e Kids,89,,,,,
"R. Frei Rogerio, 414","4,2",Assistência médica, 0800 648 0400 · ,http://www.unimed.coop.br/valedoiguacu,Unimed Vale do Iguaçu,90,True,True,https://www.facebook.com/federacaounimedsc,https://www.instagram.com/federacaounimedsc/,
"R. Padre Saporiti, 717","4,7",Instituição educacional, (42) 3522-6192 · ,http://www.uniguacu.edu.br/,Centro Universitário Vale do Iguaçu,91,True,True,https://www.facebook.com/uniguacu,https://www.instagram.com/uniguacu,
"R. Mal. Deodoro, nº 2.184","5,0",Educação superior, (42) 3523-4553 · ,http://portal.estacio.br/,Polo Estácio - União da Vitória,92,True,True,https://www.facebook.com/br.estacio,http://instagram.com/estacio_brasil,
"R. União da Vitória, 429","5,0",Clínica odontológica, (46) 3055-2144 · ,http://www.facebook.com/risosodontologia/,Risos Odontologia,93,True,True,https://web.facebook.com/help/cookies?ref_type=sitefooter,,
"Av. João Pessoa, 2937","5,0",Educação superior, (42) 3523-1114 · ,https://portal.estacio.br/?estado=SC,Estácio polo porto união,94,True,True,https://www.facebook.com/br.estacio,http://instagram.com/estacio_brasil,
Rua Marechal Floriano Peixoto 357,"5,0",Clínica odontológica, (42) 3522-8500 · ,http://www.odontoclinic.com.br/,Odonto Center Clínica Odontológica,95,True,True,http://facebook.com/odontoclinicbr,https://instagram.com/odontoclinic,
