address,classification,details,fone,link,name,position,link_problem,has_instagram,has_facebook,facebook_link,instagram_link
"Av. Osvaldo Reis, 3281 - sala 1903","4,4",Clínica especializada, (47) 3021-5491 · ,/aclk?sa=l&ai=DChcSEwiV_6aA3dnrAhUBEZEKHWbcDucYABAAGgJjZQ&sig=AOD64_0LaztKxZSCGf4b1ZpTmxdSuNhLfg&adurl&q&ctype=99,Life Clinique,1,True,,,,
"Av Coronel Marcos Konder, 505, Primeiro Andar","4,8",Assistência médica, (47) 3349-3375 · ,/aclk?sa=l&ai=DChcSEwiV_6aA3dnrAhUBEZEKHWbcDucYABABGgJjZQ&sig=AOD64_1bF4RJVIkg-FEGJ3q-4NIMQpC7Sg&adurl&q&ctype=99,SIMEDPREV,2,True,,,,
"Ed. Itajahy Trade Center - R. Samuel Heusi, 190 - sala 405",,Clínica de cirurgia plástica, (47) 99958-8836 · ,http://facebook.com/vitalizeestetica%20http://vitalizeestetica.com.br/,Vitalize Estética - Clinica de Estetica - Itajai/SC,3,True,,,,
"R. Juca Cesário, 89","5,0",Clínica especializada, (47) 2125-0293 · ,http://www.beferreira.com.br/,Clínica Be Ferreira Saúde e Estética,4,,True,True,https://www.facebook.com/beferreiraestetica/?fref=ts,https://www.instagram.com/clinica_beferreira/
"Av. Osvaldo Reis, 3281 - 1310. A","5,0",Clínica especializada, (47) 99260-1414 · ,http://www.instagram.com/tododiaplastica,Clínica de Estética e Harmonização Facial. Itajaí e Balneário Camboriú,5,,True,False,,
"R. Dr. José Bonifácio Malburg, 517","4,6",Centro de saúde e beleza, (47) 99996-1660 · ,https://virtuosaestetica.com.br/,Clínica Estética Virtuosa - Itajaí,6,True,,,,
"Av. Cel. Marcos Konder, 1207",,Clínica especializada, (47) 3046-1746 · ,https://www.facebook.com/Clinica.Finestetica/,FINESTÉTICA- CLINICA DE NUTRIÇÃO E ESTÉTICA,7,,True,True,https://web.facebook.com/help/cookies?ref_type=sitefooter,
"Av. Sete de Setembro, 1164-1218",,Clínica de cirurgia plástica,  · ,,Venue Estética,8,,,,,
"R. Alm. Tamandaré, 23","4,8",Centro de saúde e beleza, (47) 3083-6220 · ,http://www.lipocenteritajai.com.br/,Lipocenter Itajaí,9,True,,,,
"R. José Joaquim dos Santos, 33","4,5",Clínica de cirurgia plástica, (47) 3348-2770 · ,,Daniele Moreno Cosmetologia e Estética,10,,,,,
"R. Etelvina de Brito, 89","5,0",Clínica de cirurgia plástica, (47) 99991-8392 · ,,Ideal Centro Especializado Saúde e Estética,11,,,,,
"R. Samuel Heusi, 234",,Clínica de cirurgia plástica, (47) 3045-2124 · ,,Clínica Vida Studio Pilates e Estética,12,,,,,
"R. Francisco de Paula Seara, nº 206","5,0",Centro de saúde e beleza, (47) 2125-1004 · ,http://www.onidermaestetica.com.br/,Oniderma Estética e Saúde,13,,True,True,https://www.facebook.com/onidermaestetica/,https://www.instagram.com/onidermaestetica/
"R. Hercílio Luz, 197",,Clínica de cirurgia plástica, (47) 99166-7988 · ,,Bruna Luiza de Moraes - Tecnóloga em Cosmetologia e Estética,14,,,,,
"Condomínio Residencial Osny Pereira - R. Joinville, 239","4,0",Clínica de cirurgia plástica, (47) 3517-0577 · ,,Unique,15,,,,,
"R. Heitor Liberato, 699","4,9",Centro de saúde e beleza, (47) 3046-0874 · ,http://estetica-flor-criolipolise-power-shape-microagulhamento-itajai.negocio.site/,"ESTÉTICA FLOR Tratamentos Estéticos, Criolipólise Cavitacional, Power Shape Microagulhamento Itajaí",16,,False,False,,
"R. Eredes Serpa, 1414","5,0",Clínica de cirurgia plástica, (47) 3083-7938 · ,,Diamante Azul Estética Avançada,17,,,,,
"R. Alberto Ramos Filho, 41","5,0",Clínica de cirurgia plástica, (47) 98471-7738 · ,https://www.facebook.com/larissa.machado.3154,Studio Larissa Machado Beleza e Estética,18,,True,True,https://fr-fr.facebook.com/people/Larissa-Silva/100040735063645,
