address,classification,details,fone,link,name,position,has_instagram,has_facebook,facebook_link,instagram_link,link_problem
"R. Carlos Cavalcante, 444","4,9",Centro de saúde e beleza, (42) 3522-6745 · ,,Cínica Mon Corps - Biomedicina Estética e SPA,1,,,,,
"Quarto Andar, R. Cruz Machado, 281 - Sala 43","4,7",Centro de saúde e beleza, (42) 3522-1326 · ,https://www.facebook.com/SantaPelleCentro/,SantaPelle Centro Clínico e Estética Avançada,2,True,True,https://web.facebook.com/SantaPelleCentro/posts,,
"Av. Bento Munhoz da Rocha Neto, 1",,Clínica da saúde da mulher,  · ,,Clínica da Mulher,3,,,,,
"R. Ipiranga, 476","5,0",Clínica especializada, (42) 3523-1916 · ,http://www.clmodelo.com.br/,Clínica Modelo,4,True,True,https://www.facebook.com/clin.modelo/,https://www.instagram.com/leonardoiwanko/,
"R. Profa. Amazília, 733","5,0",Clínica de dermatologia, (42) 3523-9000 · ,http://www.drgustavocoronel.com.br/,Dr Gustavo Coronel,5,,,,,True
"Av. João Pessoa, 1361","5,0",Centro de saúde e beleza, (42) 98809-3733 · ,https://instagram.com/divinasesteticaavancada?utm_source=ig_profile_share&igshid=i2vumkabktxi,Divina's Clínica De Estética Avançada,6,True,True,,,
"R. Frei Rogerio, 292",,Centro de saúde e beleza, (42) 3523-4538 · ,http://www.clinicatopestetica.com.br/,TOP Clínica De Estética Avançada,7,True,True,https://www.facebook.com/topesteticaavancada/,https://www.instagram.com/clinicatopestetica/?hl=pt-br,
"R. Prof. Cleto, 398",,Centro de saúde e beleza,  · ,https://www.facebook.com/karinedarosaa/?modal=admin_todo_tour,Karine Da Rosa - Estética e Fisioterapia,8,True,True,https://web.facebook.com/karinedarosaa/services,,
"Av. Getúlio Vargas, 186 - sala 53",,Cirurgião plástico, (42) 3522-6778 · ,http://www.lyzandromattiola.com.br/,Lyzandro Mattiola - Cirurgia Plástica,9,,,,,True
"Centro - R. Profa. Amazília, 713 - Sala 1","5,0",Nutricionista, (42) 99972-5704 · ,,Kelin Gonzaga Kuritza - Nutrição Clínica e Estética Avançada,10,,,,,
"R. Mal. Floriano Peixoto, 357","5,0",Clínica odontológica, (42) 3522-8500 · ,https://www.facebook.com/odontocenteruniaodavitoria/,Odontocenter - Clínica Odontológica,11,True,True,https://web.facebook.com/help/cookies?ref_type=sitefooter,,
"R. Cruz Machado, 468 - 5","5,0",Clínica odontológica, (42) 3522-5787 · ,https://www.facebook.com/masterclinicodontologiaespecializada/?ref=bookmarks,Master Clinic Odontologia Especializada,12,True,True,https://web.facebook.com/masterclinicodontologiaespecializada/posts,,
"R. Cruz Machado, 281",,Policlínica, (42) 3522-5574 · ,,Clínica Central,13,,,,,
"R. Dom Pedro II, 688",,Clínica odontológica, (42) 3524-3168 · ,,Espaço Oral - Clínica Odontológica,14,,,,,
"R. Benjamin Constant, 580","5,0",Cirurgião plástico, (42) 3522-2603 · ,http://mariaelize.com.br/,Dra. Maria Elise Cirurgia Plástica,15,True,True,,,
"Av. Interventor Manoel Ribas, 619",,Salão de Beleza, (42) 98412-8643 · ,https://www.instagram.com/estetica_cintiapadilha/,Estética Cíntia Padilha,16,True,False,,,
