address,classification,details,fone,link,name,position,link_problem,has_instagram,has_facebook,facebook_link,instagram_link
"Rua 224, número 455 Esquina com a marginal da, BR-101","5,0",Centro de imagens por ressonância magnética, (47) 3515-0100 · ,/aclk?sa=l&ai=DChcSEwjM673HttjrAhWCB5EKHT3wA4MYABAAGgJjZQ&sig=AOD64_2YDERyRSkVomOsLpvm1O3wonNhig&adurl&q&ctype=99,Clínica RSul - Ressonância Magnética e Ultrassom,1,True,,,,
"Av. Nereu Ramos, 950",,Clínica de Fisioterapia, (47) 3368-0368 · ,,FISIOVITTA Health Center,2,,,,,
"R. 119 A, 147","3,5",Clínica odontológica, (47) 3267-1536 · ,http://www.itapema.sc.gov.br/,CEO Itapema - Centro de Especialidades Odontológicas,3,True,,,,
"Rua: 132 , 50","3,4",Policlínica, (47) 3368-0471 · ,http://www.laboratorioglauco.com.br/home/index.php,Laboratório Glauco,4,True,,,,
"Rua 133, número 60, sl 2, 88220-000","5,0",Clínica especializada, (47) 3241-4747 · ,,Bertoni Clínica Médica,5,,,,,
"R. 149, 93",,Clínica de Fisioterapia, (47) 3368-2501 · ,,Simone Pazinato e Madelon Santos,6,,,,,
"R. 137, 137 - Sala 8","5,0",Clínica odontológica, (47) 3360-9597 · ,,Biodonto Clínica Odontológica,7,,,,,
"Av. Nereu Ramos, 41 - sala 05","5,0",Clínica odontológica, (47) 3363-6092 · ,https://www.odontocompany.com/itapema,OdontoCompany,8,,True,True,https://www.facebook.com/odontocompany/,https://www.instagram.com/odontocompany/
"R. Gov. Celso Ramos, 152","3,8",Dentista, (47) 3268-6573 · ,http://www.odonttoclinica.com.br/,Odontto Clínica,9,True,,,,
"R. Oitocentos, 158",,Clínica odontológica, (47) 3368-3723 · ,http://www.dentareodontologia.com.br/,Dentare Odontologia,10,,True,True,https://www.facebook.com/DentareClinicaOdontologica,http://instagram.com/dentareodontologia
"R. 129 A 1, 210 - Loja 9",,Clínica odontológica, (47) 3268-5907 · ,,Consultório Odontológico,11,,,,,
"R. 129, 99",,Clínica odontológica, (47) 3368-3018 · ,,Ortoheck Odontologia,12,,,,,
"R. Oitocentos, 15",,Clínica odontológica, (47) 3368-1210 · ,http://www.dentistasitapema.com.br/,Consultório Odontológico Dra. Ana Paula Emmendörfer Pereira,13,,False,True,https://www.facebook.com/pages/ConsultÃ³rio-OdontolÃ³gico-Dra-Ana-Paula-EmmendÃ¶rfer-Pereira/427864877246322,
Rua 706E 375,,Clínica odontológica, (47) 99245-8484 · ,,Consultório Odontológico,14,,,,,
"Av. Nereu Ramos, 760","1,0",Clínica de ginecologia e obstetrícia, (47) 3368-5499 · ,,Valdir Célio Klein,15,,,,,
"R. 260 - A, 915","3,4",Centro médico, (47) 3368-9438 · ,http://clinicarevitalite.com.br/,Clínica Revitalité,16,,True,True,https://www.facebook.com/clinicarevitalite/,https://www.instagram.com/clinicarevitalite
"R. 234, 425","3,0",Policlínica, (47) 3368-2656 · ,http://clinicamedicalavie.com.br/,Clínica Médica La Vie,17,True,,,,
"R. Gov. Celso Ramos, 869 - sala 01","5,0",Clínica odontológica, (47) 3368-0318 · ,,Clínica Dra Kenia Marla,18,,,,,
"A - Rua 133, 60 - sl 03","5,0",Médico, (47) 3366-3542 · ,http://www.solumedi.com.br/,Solumedi Itapema,19,,True,True,https://web.facebook.com/SolumediOficial/,https://www.instagram.com/solumedioficial/
"R. 209, 98",,Clínico geral, (47) 3368-4321 · ,,Dr. Élsio da Silva Mafra,20,,,,,
"R. Gov. Celso Ramos, 432 - 01","4,3",Laboratório médico, (47) 3368-0356 · ,,Laboratório Raffaelli,21,,,,,
"R. 248, 322 - Sala 06","4,8",Centro médico, (47) 3393-6848 · ,http://www.saintgermainmedicina.com.br/,Clínica Saint Germain,23,,True,True,https://www.facebook.com/Cl%C3%ADnica-Saint-Germain-Itapema-356513494407377/?ref=bookmarks,https://www.instagram.com/saintgermainitapema/?hl=pt-br
"Av. Nereu Ramos, 1320","4,4",Laboratório médico, (47) 3248-3769 · ,http://www.laboratoriophiladelphia.com.br/,Laboratório Philadelphia,24,,True,True,https://pt-br.facebook.com/Laborat%C3%B3rio-Philadelphia-266462553546352/,https://www.instagram.com/laboratoriophiladelphia/
"Rua 236, 314 - sala 02 (frente para a 2ª Avenida)","4,6",Centro de diagnóstico médico por imagem, (47) 3345-9954 · ,http://www.lgasaude.com.br/,Clínica LGA SAÚDE,25,,True,True,http://facebook.com/lgasaude,http://instagram.com/lgasaude
"Av. Nereu Ramos, 800 - Sala Térrea","5,0",Ortodontista, (47) 3363-0969 · ,http://www.orthodonticbrasil.com.br/,OrthoDontic,26,,True,True,https://www.facebook.com/orthodontic.br,https://www.instagram.com/bobdente/
"686, sala 1, Av. Nereu Ramos",,Clínica odontológica, (47) 3368-6607 · ,,Consultório Odontológico Dr. Bernardo L Gallina e Dra. Júlia Della Nora,27,,,,,
"Rua 238, 165 - Sala 3","4,4",Centro de diagnóstico médico por imagem, (47) 3368-0121 · ,http://www.ultramamo.com.br/,"Clínica UltraMamo - Ultrassom, Raio-x e Mamografia",28,,True,True,https://www.facebook.com/www.ultramamo.com.br/,https://www.instagram.com/clinicaultramamo/
"R. 222, 246","4,9",Clínica de Fisioterapia, (47) 3368-0348 · ,http://www.fisioclinicaitapema.com.br/,Fisio Clínica Itapema,29,,False,False,,
"Av. Nereu Ramos, 5555","4,5",Centro médico, (47) 3368-9655 · ,https://medicos-clinicas-consultorios.negocio.site/,Clínica Santa Catarina,30,,False,True,,
"R. 214, 142","5,0",Clínica da saúde da mulher, (47) 3368-8825 · ,http://clinicaelegance.com/,Clínica Elegance,31,,True,True,https://www.facebook.com/clinica.elegance/,https://www.instagram.com/eleganceitapema/
"R. 252, 120 - Sala 02","3,0",Clínica oftalmológica, (47) 3368-5333 · ,http://www.visaomed.com.br/,Clínica de Olhos de Itapema,32,True,,,,
"Av. Nereu Ramos, 5198","5,0",Policlínica, (47) 3268-3850 · ,https://www.clinicacostaesmeralda.com.br/,Clínica Costa Esmeralda Medicina do Trabalho,33,True,,,,
"R. 224, 455 - Sala 02","4,6",Clínica ortopédica, (47) 3368-1605 · ,http://www.cotbc.com.br/,Clinica de Ortopedia e Traumatologia COT Itapema,35,,True,True,https://www.facebook.com/cotortopedia/,https://www.instagram.com/clinicacot/
"R. 246, 460","5,0",Clínica de Fisioterapia, (47) 3368-7653 · ,http://itafisio.com.br/,Itafisio Clínica de Fisioterapia e Reabilitação,36,,True,True,http://www.facebook.com/sharer.php?u=http%3A%2F%2Fitafisio.com.br&t=Itaf%C3%ADsio,https://www.instagram.com/_itafisio_/
"R. 119 A, 105-157","4,4",Hospital, (47) 3267-1502 · ,http://diariocostaesmeralda.com/index.php?pg=noticia&id=1335,CERES - Centro de Referencia Especializada,37,True,,,,
"R. 246, 280","3,0",Clínica odontológica, (47) 2033-4279 · ,https://www.sorrifacil.com.br/clinicas/itapema,Sorrifácil Clínica Odontológica Especialidades,38,,True,True,https://www.facebook.com/Clinicas.Sorrifacil,https://www.instagram.com/sorrifacil
"RUA 234, nº425, 1ºandar","5,0",Clínica ortopédica, (47) 3246-2509 · ,,Clinica Medica La Vie Ortopedia,39,,,,,
"R. 250, 105","5,0",Clínica de Fisioterapia, (47) 3368-0348 · ,http://www.fisioclinicaitapema.com.br/,Fisio Clínica Itapema,40,,False,False,,
"Av. Nereu Ramos, 950 - Centro",,Clínica de cirurgia plástica, (47) 3366-0131 · ,,Noblesse Clínica,41,,,,,
