address,classification,details,fone,link,name,position,has_instagram,has_facebook,facebook_link,instagram_link,link_problem
Porto Belo,"5,0",Consultório médico, (47) 3369-8888 · ,http://www.centerclinicaportobelo.com.br/,Center Clínica e Laboratório Porto Belo,1,True,True,https://web.facebook.com/CenterClinicaPortoBelo,https://www.instagram.com/center_clinicaportobelo/,
"Rua Beija Flor, 518 Perequê","5,0",Clínica especializada, (47) 99971-6826 · ,,Jennifer Sarah... Micropigmentação e Estética ...,16,,,,,
"Av. Gov Celso Ramos, 2400","4,4",Pronto atendimento, (47) 3369-5378 · ,http://business.google.com/website/unidade-de-pronto-de-atendimento-central,Unidade de Pronto Atendimento Central,17,False,False,,,
"Av. Gov Celso Ramos, 701","5,0",Posto de saúde comunitário, (47) 3369-5378 · ,,Unidade Mista De Saúde Maurílio Manoel Da Silva – Posto De Saúde Central,18,,,,,
"Av. Gov Celso Ramos, 2158","3,5",Laboratório médico, (47) 3369-6597 · ,http://www.laboratorioglauco.com.br/,LABORATORIO GLAUCO,19,,,,,True
"R. José Miguel Pedro, 388",,Terapeuta, (47) 99663-4699 · ,,Rejane Dahmer,20,,,,,
"Rua, Av. Francisco Severiano dos Santos, 20","5,0",Consultório médico, (47) 3369-8888 · ,http://www.centerclinicaportobelo.com.br/,Center Clínica e Laboratório Porto Belo,21,True,True,https://web.facebook.com/CenterClinicaPortoBelo,https://www.instagram.com/center_clinicaportobelo/,
"Av. Gov Celso Ramos, 2152","4,5",Clínica odontológica, (47) 3369-6125 · ,,Sorriso Novo Porto Belo,22,,,,,
"Av. Gov Celso Ramos, 2705",,Clínica de Fisioterapia,  · ,,Clínica de Fisioterapia Pinheiro,23,,,,,
"R. José Guerreiro Filho, 181","5,0",Clínica de Fisioterapia, (47) 3369-4964 · ,,Fisioterapia Dr Marcelo Augusto,24,,,,,
"Av. Gov Celso Ramos, 2384 - 2","4,8",Clínica odontológica, (47) 99928-1718 · ,http://clinicabucaletotal.com.br/,Bucal & Total Clínica Odontológica,25,False,False,,,
"R. Jorge M. da Silva, 55","4,9",Centro de saúde e beleza, (47) 99721-7470 · ,http://mayandra.com.br/,Mayandra Clinica Estética & SPA,26,True,True,https://www.facebook.com/esteticaflordapele,https://www.instagram.com/flordapelemayandra/,
"Av. Hironildo Conceição dos Santos, 973",,Centro de saúde e beleza, (47) 99160-5538 · ,http://www.facebook.com/cbelezoterapia,Clínica Belezoterapia,27,True,True,https://web.facebook.com/cbelezoterapia/services,,
Av. Gov Celso Ramos,,Medicina do Trabalho, (47) 3369-9209 · ,http://edimed.com.br/,Edimed - Porto Belo,28,,,,,True
"Av. Gov Celso Ramos, 384","5,0",Clínica odontológica, (47) 3369-5346 · ,https://www.facebook.com/centroodontologicovillasorriso/,Villa Sorriso Centro Odontológico,29,True,True,https://web.facebook.com/centroodontologicovillasorriso/services,,
"R. Leopoldo José Guerreiro, 376","5,0",Clínica odontológica, (47) 3369-4501 · ,https://davidoff-odontologia.negocio.site/,Davidoff Odontologia,31,False,False,,,
"R. Cap. Gualberto Leal Nunes, 298","4,7",Laboratório médico, (47) 3369-4723 · ,http://centraldeexames.com.br/,Central de Exames Laboratório Clínico,32,,,,,True
"Av. Gov Celso Ramos, 1374",,Clínica odontológica, (47) 99136-6883 · ,https://instagram.com/horuodontologia?igshid=19i60ftb3q0a8,HORU Odontologia e Medicina Contemporânea,33,True,False,,,
"Avenida Hironildo Conceição dos Santos, 1284 Perequê",,Dentista, (47) 3369-5812 · ,,"Clínica Odontológica Dr. Javier - Dentista em Porto Belo, Itapema e Bombinhas",34,,,,,
"R. Felix Walendowsky, 321",,Posto de saúde comunitário, (47) 3369-8571 · ,,CAPS Porto Belo,35,,,,,
"R. 246, 246 - Sala 501","5,0",Clínica especializada, (47) 3366-7285 · ,https://marina-bordignon-clinica-pediatrica.negocio.site/?utm_source=gmb&utm_medium=referral,Marina Bordignon Clínica Pediátrica,41,False,False,,,
"Rua 224, número 455 Esquina com a marginal da, BR-101","5,0",Centro de imagens por ressonância magnética, (47) 3515-0100 · ,http://www.clinicarsul.com.br/,Clínica RSul - Ressonância Magnética e Ultrassom,42,True,True,https://www.facebook.com/rsulitapema/,https://www.instagram.com/rsul_itapema,
"R. 222, 246","4,9",Clínica de Fisioterapia, (47) 3368-0348 · ,http://www.fisioclinicaitapema.com.br/,Fisio Clínica Itapema,43,False,False,,,
"R. 234, nº 425","5,0",Clínica de Fisioterapia, (47) 3368-2656 · ,https://fisioterapia-fabricio-fontana.negocio.site/?m=true,Osteopatia Itapema,44,False,False,,,
R. Pedro Jacinto Dias,"4,8",Posto de saúde comunitário, 3369-9216 · ,,Unidade Básica de Saúde Manoel José Domingos,45,,,,,
,"4,0",Terapeuta, (47) 99910-6646 · ,,Transmuta Vida,46,,,,,
"Av. Hironildo Conceição dos Santos, 1193 - Perequê","4,5",Loja de suprimentos para animais de estimação, (47) 3369-6565 · ,http://www.jvrpetshop.com.br/,JVR Pet Shop Casa Amarela,47,False,True,https://www.facebook.com/JVRPETCASAAMARELA,,
"R. 319, 247","5,0",Policlínica, (47) 3268-1873 · ,,Bem Comer,48,,,,,
"Rua: 132 , 50","3,4",Policlínica, (47) 3368-0471 · ,http://www.laboratorioglauco.com.br/home/index.php,Laboratório Glauco,49,,,,,True
"Av. Gov Celso Ramos, 2500","2,5",Repartição pública municipal, (47) 3369-4111 · ,http://www.portobelo.sc.gov.br/,Prefeitura Municipal de Porto Belo,50,False,True,https://www.facebook.com/prefeituraportobelo,,
"R. Leoberto Leal, 244","4,0",Policlínica, (48) 3641-2900 · ,http://www.clinivati.com.br/,Clinivati - Clínica do Vale Rio Tijucas,51,True,True,https://www.facebook.com/clinivati/,https://www.instagram.com/clinivati/,
"Av. Hironildo Conceição dos Santos, 146 - Perequê Perequê","4,3",Tabelião, (47) 3369-5987 · ,http://www.tabelionatoportobelo.com.br/,Tabelionato de Notas e Protestos de Títulos de Porto Belo/SC,52,,,,,True
"R. Irineu José Moreira, 243","3,5",Farmácia, (47) 3369-8572 · ,https://www.portobelo.sc.gov.br/noticias/index/ver/codMapaItem/4326/codNoticia/411750,Farmácia Central,53,False,True,,,
"R. Marcal P. do Nascimento, 78","5,0",Casa de repouso para idosos, (47) 99143-0062 · ,http://casaliriosdocampo.com/,Casa de Repouso Lírios do Campo,54,True,True,https://www.facebook.com/WixPortugues,https://instagram.com/wix,
"Av. Nereu Ramos, 41 - sala 05","5,0",Clínica odontológica, (47) 3363-6092 · ,https://www.odontocompany.com/itapema,OdontoCompany,55,True,True,https://www.facebook.com/odontocompany/,https://www.instagram.com/odontocompany/,
"Avenida José Neoli Cruz, 2446 Alto Pereque","4,8",Organização não governamental, (47) 3369-5860 · ,http://www.resgatedevidas.org.br/,Resgate de Vidas,56,,,,,True
"R. José Alexandre Rocha, 544-642","4,3",Pet Shop, (47) 99234-7020 · ,,Pet Shop Bem Estar Animal,58,,,,,
"Av. Gov Celso Ramos, S/N","4,4",Atacadista, (47) 3406-7100 · ,https://www.fortatacadista.com.br/nossas-lojas/,Fort Atacadista - Porto Belo - SC,59,True,True,https://www.facebook.com/fortatacadista,https://www.instagram.com/fortatacadista/,
Itapema,"5,0",Centro de diagnósticos, (47) 3028-3001 · ,http://www.grupoghanem.com.br/,Ghanem,61,True,True,https://www.facebook.com/pages/Ghanem-Laborat%C3%B3rio-Cl%C3%ADnico/129506843783657,https://instagram.com/ghanemlaboratorio/,
