address,classification,details,fone,link,name,position,has_instagram,has_facebook,facebook_link,instagram_link,link_problem
Rua Leonor Baron 117,"5,0",Construtora, (47) 3369-6698 · ,http://www.wrsconstrutora.com.br/,WRS Construtora e Incorporadora,1,True,True,http://www.facebook.com/wrsconstutora/,http://www.instagram.com/wrsconstrutora/,
"ED. VALPARAÍSO - R. Mário Padilha, 523","5,0",Construtora, (47) 99653-5352 · ,http://maybelly.com.br/,Maybelly,2,,,,,True
"Av. Sen. Atílio Fontana, 1987","4,0",Construtora, (47) 3369-5000 · ,http://www.imobiliariapillar.com.br/,Pillar Imobiliaria Construtora e Incorporadora,3,True,True,https://www.facebook.com/imobiliariapillar/,,
"R. José Guerreiro Filho, 264","5,0",Construtor Imobiliário, (47) 3366-3001 · ,http://julioaimoveis.com.br/,Julio Abraham Construtora,4,False,False,,,
"Av. Hironildo Conceição dos Santos, 488 sl 09 Perequê",,Construtora, (47) 99931-8883 · ,https://www.facebook.com/gmais.empreendimentos/,G+ Empreendimentos - Porto Belo,5,True,True,https://www.facebook.com/help/cookies?ref_type=sitefooter,,
,,Construtora, (47) 99983-4851 · ,,"Pezzatti,Construtora e Incorporadora Ltda",6,,,,,
"R. Felix Walendowsky, n 153",,Construtora, (47) 99183-3861 · ,http://cosenzaempreendimentos.com.br/contact-us/,COSENZA EMPREENDIMENTOS,7,False,True,https://www.facebook.com/cosenzaportobelo/,,
Esq. Rua Raynerio Krieger Rua José Roberto Otto 182 Perequê,"5,0",Construtor Imobiliário, (47) 99246-1116 · ,,SUD INCORPORADORA,8,,,,,
"Av. Hironildo Conceição Dos Santos, número 890 Sala 02 Perequê",,Construtora, (47) 99285-1267 · ,,AZ Construção e Reforma,9,,,,,
R. José Ponciano da Silva,"5,0",Construtora de casas personalizadas, (47) 99235-1978 · ,https://sites.google.com/view/obra-prima-crm/p%C3%A1gina-inicial?authuser=0,Obra Prima crm,10,False,False,,,
"Av. Gov Celso Ramos, 2170",,Construtora, (47) 3368-8888 · ,,vitor hugo abraham corretor de imoveis,12,,,,,
"Rua Almirante Fonseca Neves, n°520 Perequê",,Construtora, (47) 3268-1975 · ,http://www.reveempreendimentos.com.br/,Revê Empreendimentos - Central de Negócios,13,,,,,True
"R. Beija Flôr, 141 - 02","4,5",Construtora, (47) 3363-6075 · ,http://construtoraportobelo.com.br/,Construtora Porto Belo,14,False,True,https://www.facebook.com/construtora.portobelo,,
"Av. Almirante Fonseca Neves, 454 Sala 01 Balneário Perequê",,Construtora, (48) 3263-4163 · ,http://www.leprimee.com.br/,Le Prime Empreendimentos,16,True,True,http://www.facebook.com/leprimeempreendimentos,http://www.instagram.com/leprimeempreendimentos/,
R. Egon Erwin Koehler,"3,0",Construtora, (47) 99781-1000 · ,http://f7empreendimentos.com.br/,MONTE HERMON - F7 EMPREENDIMENTOS,17,True,True,https://www.facebook.com/F7-Empreendimentos-1882364958539066/,https://www.instagram.com/f7empreendimentos/,
"R. Irineu José Moreira, 801",,Construtora, (47) 3369-4658 · ,,Zandonai & Zandonai,18,,,,,
"Av. Senador Atílio Fontana, 497 Perequê","4,8",Construtor Imobiliário, (47) 99200-0350 · ,http://phacz.com.br/,Phacz Empreendimentos,20,True,True,https://www.facebook.com/phaczempreendimentos/,https://www.instagram.com/phaczempreendimentos/,
"2ª Avenida, 842","4,7",Imobiliária, (47) 3368-0914 · ,/aclk?sa=l&ai=DChcSEwiI0fPW08_rAhWPC5EKHTK0B8kYABAAGgJjZQ&sig=AOD64_1kaVrLwzpboaWhs2Rvmk5X1p8Qng&adurl&q&ctype=99,Imobiliária Requinte,21,,,,,True
"Rodovia SC 412, 892","3,8",Empresa de Terraplenagem, (47) 3369-8633 · ,,Irmãos Perão,29,,,,,
"Av. Sen. Atílio Fontana, 947-969","4,6",Construtor Imobiliário, (47) 99285-1267 · ,,Condomínio Edificio Kirchner,30,,,,,
"R. Mário Padilha, 28","5,0",, (47) 99721-2547 · ,,Engenheiro civil,31,,,,,
"Av. Gov Celso Ramos, 401","4,9",Desenvolvedora de imóveis, (47) 99615-5255 · ,http://www.eduardocorretordeimoveis.com.br/,Eduardo Corretor de Imóveis,32,,,,,True
"R. 280, 270 - 1","4,9",Construtora, (47) 3268-0489 · ,http://www.conedconstrutora.com.br/,Coned Construtora e Incorporadora,33,,,,,True
R. 264,"5,0",Construtora, (47) 3368-5116 · ,http://www.dellagneloconstrutora.com.br/,Dellagnelo Construtora e Incorporadora,34,True,True,https://www.facebook.com/dellagneloconstrutora/,http://www.instagram.com/dellagneloconstrutora,
"Rua 294 , nº 245, (esq c/ a, 2ª Avenida","4,8",Construtora, (47) 3268-6512 · ,http://csegerconstrutora.com.br/,C’Seger Construtora e Incorporadora,35,True,True,,,
"Av. Nereu Ramos, 5055 - sala 1","4,8",Construtora, (47) 3368-4113 · ,http://www.construtorapasqualotto.com.br/,Pasqualotto Construtora e Incorporadora,36,True,True,https://www.facebook.com/Pasqualotto-Construtora-384134415024657/,https://www.instagram.com/pasqualottoconstrutora/,
"R. 295, 10 - Sala 101","4,3",Construtora, (47) 3368-4368 · ,https://jmasson.com.br/,J Masson Construtora,37,True,True,https://www.facebook.com/JMassonConstrutora,https://www.instagram.com/jmassonconstrutora/,
