address,classification,details,fone,link,name,position,link_problem,has_instagram,has_facebook,facebook_link,instagram_link
"R. Camboriú, 664",,Empresa de importação e exportação, (47) 3045-6803 · ,/aclk?sa=l&ai=DChcSEwiL-9T82NnrAhUKBpEKHTqaD9gYABAAGgJjZQ&sig=AOD64_3tkW_9XaitzgQ85dXEoY0ns14_Qg&adurl&q&ctype=99,Expedio Trade Importações e Exportações Limitada,1,True,,,,
"Edifício The Office Centro, R. Samuel Heusi, 463","5,0",Empresa de importação e exportação, (47) 3045-6425 · ,http://www.kamersbrasil.com.br/,Kamers Brasil Importação e Exportação,2,True,,,,
"Av. Cel. Marcos Konder, 805","5,0",Empresa de importação e exportação, (47) 3045-1720 · ,http://www.capitaltrade.srv.br/,Capital Trade Importação e Exportação,3,,False,True,https://www.facebook.com/capitaltradeltda/,
"Rod. Antônio Heil, 1001",,Empresa de importação e exportação, (47) 3348-7240 · ,http://www.proimport.com.br/,Proimport Brasil,4,,False,True,https://www.facebook.com/proimportbrasil,
"Rod. Jorge Lacerda, nº 921 - Galpão 01","4,9",Empresa de importação e exportação, (47) 3349-9700 · ,http://www.logomar.com.br/,"Logomar Comércio, Importação e Exportação Ltda",5,True,,,,
"Av. Min. Victor Konder, 188 - 201A","5,0",Empresa de importação e exportação, (47) 3046-1999 · ,http://ibscomex.com/,IBS COMEX – Inter Brasil Sul Comercial Importadora e Exportadora Ltda.,6,,False,True,https://www.facebook.com/ibscomex,
"R. Joinville, 304 - sala 401","4,6",Empresa de importação e exportação, (47) 3311-4075 · ,http://www.midascomex.com.br/,Midas Comex Importação e Exportação Ltda,7,True,,,,
"Condomínio Edifício Executive Center - Rua Gil Stein Ferreira, 357",,Empresa de importação e exportação, (47) 3348-5539 · ,,Best SC Importação e Exportação,8,,,,,
"Av. Cel. Marcos Konder, 805 - 605-606","3,4",Empresa de importação e exportação, (47) 3346-3276 · ,http://bulkcontinental.com.br/,BULK Comercio Exterior LTDA,9,,False,True,,
"Ed. Seixas Business Tower - R. Dr. Nereu Ramos, nº 197 - Sala 306",,Empresa de importação e exportação, (47) 3515-2105 · ,https://www.aocimports-br.com/,AOC Imports - Filial Itajaí - Importadora e Exportadora,10,,False,False,,
"R. Joinville, 304","4,9",Empresa de importação e exportação, (47) 3390-2400 · ,http://www.repretec.com.br/,Repretec Trading,11,,True,True,https://www.facebook.com/repretectrading/,https://www.instagram.com/repretec.trading/
"R. Tijucas, 435",,Empresa de importação e exportação, (47) 3348-1337 · ,,Zadra Exportadora,13,,,,,
"R. Dr. Pedro Ferreira, 155",,Empresa de importação e exportação, (47) 3348-4142 · ,,Perrone Import Exportação,14,,,,,
"R. Dr. Pedro Ferreira, 333 - Sala 1805","5,0",Empresa de importação e exportação, (47) 3045-1644 · ,http://www.prime.com.vc/,Prime Internacional Comércio Exterior,15,,True,True,http://www.facebook.com/primeinternacional,http://instagram.com/primeinternacional
"R. Felipe Reiser, 607",,Empresa de importação e exportação, (47) 3045-3720 · ,,1G P Catarinense Com Imp e Exp,17,,,,,
"R. Otílio Dalçoquio, 185","4,3",Empresa de importação e exportação, (47) 3349-0750 · ,http://www.marilliam.com.br/,Marilliam Importação e Exportação,18,,False,True,,
"Rod. Antônio Heil, 800","4,5",Empresa de importação e exportação, (47) 3514-3343 · ,http://leveltrade.com.br/,Level Trade,19,,False,True,https://www.facebook.com/pages/Level-Trade/598586966923264?fref=ts,
"Ed. Embraed Centro Empresarial - Av. Cel. Marcos Konder, 1207 - 80","5,0",Empresa de importação e exportação, (47) 2125-0094 · ,http://wezan.com.br/,Wezan Comércio Exterior,20,True,,,,
"Rua João Bauer, 811",,Empresa de importação e exportação, (47) 3344-1513 · ,http://www.imporlog.com.br/,Imporlog Trading-Importação e Exportação,21,,True,True,http://www.facebook.com.br/imporlog,http://www.instagram.com/imporlog
"Av. Cel. Marcos Konder, 1313","5,0",Empresa de importação e exportação, (47) 3046-0157 · ,,Jed Comercial e Exportação,24,,,,,
"R. Samuel Heusi, 463 - sala 1002",,Empresa de importação e exportação, (47) 3021-6152 · ,http://madridimportadora.com.br/,Madrid importação e exportação,25,True,,,,
"R. Constantino D'ivanenko, 87","4,9",Empresa de importação e exportação, (47) 99228-8880 · ,https://www.importexportbrazil.com/,Garbari Trade Import Export Brazil,26,True,,,,
"R. Otílio Dalçoquio, 357","4,6",Empresa de importação e exportação, (47) 3046-3092 · ,,Asia Trade Importação e Exportação,28,,,,,
"R. Samuel Heusi, 190",,Empresa de importação e exportação, (48) 99989-0775 · ,http://www.amplacomex.com.br/,Ampla Comex Assessoria em Comercio Exterior,29,,False,False,,
"R. Dr. Reinaldo Schmithausen, 3081","3,4",Empresa de importação e exportação, (47) 3319-1398 · ,,Transamérica Comércio e Exportação,30,,,,,
"R. Brusque, 636",,Empresa de importação e exportação, (47) 3045-1202 · ,http://www.ciatrading.com.br/,Ciatex Importação e Exportação Ltda,31,,False,False,,
"R. José Siqueira, 180","4,9",Empresa de importação e exportação, (47) 3248-0525 · ,,Cruiser Importação e Exportação,32,,,,,
"Condomínio Empresarial Manhattan Office, R. Uruguai, 223","5,0",Empresa de importação e exportação, (11) 4380-6837 · ,,Columbia Trading,33,,,,,
"R. Samuel Heusi, 463 - sala 902",,Empresa de importação e exportação, (47) 3344-0822 · ,http://www.primecomex.com.br/2014/,Prime Comex Importação e Exportação Eireli,34,True,,,,
