address,classification,details,fone,link,name,position,link_problem,has_instagram,has_facebook,facebook_link,instagram_link
Itajaí,"5,0",Escritório de advocacia, (47) 99608-7729 · ,/aclk?sa=l&ai=DChcSEwiRxbrnudjrAhVHCZEKHRB-Dy8YABAAGgJjZQ&sig=AOD64_23awVAcWdNPmafBOzwARPeZqmEbQ&adurl&q&ctype=99,Silva & Graf Advogados Associados,1,True,,,,
"R. Uruguai, n 311 - Sala 03","5,0",Escritório de advocacia, (47) 99608-7729 · ,/aclk?sa=l&ai=DChcSEwiRxbrnudjrAhVHCZEKHRB-Dy8YABAAGgJjZQ&sig=AOD64_23awVAcWdNPmafBOzwARPeZqmEbQ&adurl&q&ctype=99,Silva & Graf Advogados Associados,23,True,,,,
"R. Dr. Pedro Ferreira, 155 - 1300","5,0",Advogado, (47) 99702-8159 · ,/aclk?sa=l&ai=DChcSEwiRxbrnudjrAhVHCZEKHRB-Dy8YABABGgJjZQ&sig=AOD64_2_mDh5FRIh-gQHnyOd9quJ45SgnA&adurl&q&ctype=99,Saccardo Branco Advocacia Itajaí,24,True,,,,
"R. Carlos Seara, 613 - Sala 01/02","4,8",Escritório de advocacia, (47) 3249-1034 · ,http://www.bittencourtadvocacia.com.br/,Ricardo Bittencourt & Advogados Associados,25,,True,True,,
R. Alberto Werner,,Advogado,  · ,https://sites.google.com/view/jf-advocacia-advogado-itajai/,JF Advocacia - Escritório de Advocacia em Itajaí,26,,False,False,,
"R. Lauro Muller, 210","4,4",Escritório de advocacia, (47) 2103-8700 · ,http://www.henrixavier.adv.br/,Henri Xavier Advogados Associados,27,True,,,,
"R. Lauro Muller, nº 585","4,1",Escritório de advocacia, (47) 3348-8825 · ,http://pzadvogados.com.br/,P. Zimmermann Advogados,28,,False,False,,
"R. Expedicionário Carlos Costa, 134","4,6",Advogado, (47) 3046-0252 · ,http://www.erngarcia.com.br/,Ern e Garcia Advogados,29,,False,True,,
"R. Hildo Silva, 74","4,8",Escritório de advocacia, (47) 3366-3034 · ,http://www.gasparinadvocacia.com.br/,Gasparin Advocacia,30,True,,,,
"R. Dr. Pedro Ferreira, 155","4,0",Advogado, (47) 3344-4903 · ,,Escritorio de Advocacia Eduardo Erivelto Campos,31,,,,,
"R. Jorge Tzaschel, 38 - Sala 301","5,0",Escritório de advocacia, (47) 3348-6758 · ,http://www.salesvieira.com.br/,Sales Vieira & Associados - Advocacia Tributária,32,,False,True,,
