address,classification,details,fone,link,name,position,has_instagram,has_facebook,link_problem,facebook_link,instagram_link
"R. Barão do Rio Branco, 26","4,4",Advogado, (42) 3521-5000 · ,http://www.meloadvogados.com.br/,Melo Advogados Associados,1,True,True,,,
"R. Cel. Amazonas, 500","5,0",Advogado, (42) 99129-2099 · ,,Advocacia Olbertz Advogados Associados,2,,,,,
"R. Ipiranga, 203","4,8",Escritório de advocacia, (42) 99999-8160 · ,https://www.hladczuk.com.br/,Hladczuk Advogados Associados,3,False,False,,,
"R. Profa. Amazília, 578",,Advogado, (42) 3523-3010 · ,,Advocacia Cleiton Cezar Schaefer,4,,,,,
"R. Cel. João Gualberto, 635",,Advogado, (42) 3523-2412 · ,,Advogacia Jacob Augusto Krapp Hoff,5,,,,,
"R. Bernardina Souza Schleder, 40","3,1",Advogado, (42) 3523-4809 · ,,Alves de Lima Advocacia,6,,,,,
"R. Barão do Cerro Azul, 39","5,0",Advogado, (42) 3522-1563 · ,,Martim Francisco Ribas,7,,,,,
"R. Visc. de Guarapuava, 242 - Sala 2",,Advogado, (42) 3522-0959 · ,,Advocacia,8,,,,,
"R. Castro Alves, 268 - SL. 5","5,0",Escritório de advocacia, (42) 3523-4577 · ,https://www.rtss.adv.br/,Ribeiro Taborda Advogados,9,,,True,,
"R. Dom Pedro II, 102",,Advogado, (42) 3522-2533 · ,,Lotoski & Maglani Advogados Associados,10,,,,,
"Av. Getúlio Vargas, 186",,Advogado, (42) 3522-7635 · ,,Advocacia Sara Ernani da Silva,11,,,,,
"R. Cruz Machado, 592","5,0",Advogado criminal, (42) 3522-7361 · ,http://ruscheladvocacia.com.br/,Ruschel Advocacia,12,,,True,,
"R. Clotário Portugal, 1051","5,0",Escritório de advocacia, (42) 3522-7923 · ,https://www.facebook.com/dpbadvogados,Dalmolin Pogogelski & Belem Advogados Associados,13,True,True,,https://web.facebook.com/dpbadvogados/posts,
"R. Mal. Floriano Peixoto, 327","5,0",Advogado Civil, (42) 3522-4352 · ,,Escritório Advocacia Geni Salete Ostrowski,14,,,,,
"R. Castro Alves, 302","5,0",Escritório de advocacia, (42) 3524-2587 · ,http://www.msrc.com.br/,Marafon Silva & Rosa Castilho Advogados Associados,15,False,False,,,
"Rua Prof Amazilia, 460, sala 01","4,0",Advogado, (42) 3523-1400 · ,http://www.sldecosta.adv.br/,"SL de Costa, Savaris e Advogados Associados",16,False,False,,,
"R. Cruz Machado, 81","5,0",Advogado, (42) 3522-2642 · ,,"Farah, Zani D",17,,,,,
"Av. Interventor Manoel Ribas, 949","5,0",Advogado, (42) 3523-6688 · ,,Fagundes & Faria Advocacia,18,,,,,
"R. 1º de Maio, 302","5,0",Escritório de advocacia, (42) 3522-9373 · ,,Fabrício Schewinski Advogado,19,,,,,
"R. Clotário Portugal, 765","4,3",Empresa de advocacia, (42) 3522-1878 · ,http://www.mmagnaniadvocacia.com.br/,Magnani Advogados Associados,20,,,True,,
"R. Profa. Amazília, 376","4,4",Advogado trabalhista, (42) 3522-2735 · ,,"Dombroski, Gilberto T",21,,,,,
