address,classification,details,fone,link,name,position,link_problem,has_instagram,has_facebook,facebook_link,instagram_link
"Av. Conselheiro João Gaya, 444 - Sala 02","5,0",Escritório de contabilidade, (47) 3065-4009 · ,/aclk?sa=l&ai=DChcSEwinmIry1tnrAhWICpEKHUEaCuAYABAAGgJjZQ&sig=AOD64_0PFNnaP2y-BXtxnC5v85ogxpaWhg&adurl&q&ctype=99,Neocon Contabilidade,1,True,,,,
"Rua Dr. Pedro Ferreira, 84 - Sobre Loja, Sala 03","5,0",Escritório de contabilidade, (47) 2122-7748 · ,/aclk?sa=l&ai=DChcSEwinmIry1tnrAhWICpEKHUEaCuAYABABGgJjZQ&sig=AOD64_2L-FPF2_XYIB-V2ntQWtREuGEgCA&adurl&q&ctype=99,ALFACON CONTABILIDADE,2,True,,,,
"R. Laudelina Dionísio, 1069",,Assessoria contábil, (47) 3246-4841 · ,,Contab Escritório Contábil,3,,,,,
"R. Odílio García, 211","5,0",Assessoria contábil, (47) 3046-5250 · ,http://g3contabilidade.com.br/,G4 Contabilidade,4,,True,True,https://www.facebook.com/G4-Contabilidade-666368933486570,https://www.instagram.com/g4contabilidade/
Rua Anita Garibaldi 600 esq c/R Dr Cacildo Romagnani 100,"5,0",Assessoria contábil, (47) 3348-3970 · ,http://www.jesdimar.com.br/,Escritório Contábil Jesdimar Ltda ME,5,,False,True,,
"Praça Felix Busso Asseburg 64, Sala 01, Segundo Andar","5,0",Assessoria contábil, (47) 3248-0640 · ,http://machadocontabilidade.com.br/,Machado Contabilidade,6,,True,True,https://www.facebook.com/machadocontabilidadesc,https://www.instagram.com/machadocontabilidadesc/
"R. José Pereira Liberato, 1050","5,0",Assessoria contábil, (47) 3045-3577 · ,http://www.stmcontabil.com.br/,Stm Contabilidade Escritório Virtual,7,,False,True,,
"R. José Cândido, 502",,Assessoria contábil, (47) 3344-0428 · ,http://fonte-contabilidade-accounting-firm.negocio.site/,Fonte Contabilidade,8,,False,False,,
"R. José Pereira Liberato, 298","5,0",Assessoria contábil, (47) 99136-0905 · ,http://www.aikawi.com.br/,ORGANIZAÇÃO CONTABIL AIKAWI LTDA.,9,,False,False,,
"12º andar Ed. Riviera Avenida Osvaldo Reis, 3281 - Sala 1201 - 1206","5,0",Assessoria contábil, (47) 3349-3319 · ,http://www.eurocontabilidade.com.br/,Euro Contabilidade Consultoria e Assessoria Empresarial,10,,True,True,,
"R. Alm. Barroso, 559",,Assessoria contábil, (47) 3348-0480 · ,http://exatus.cnt.br/,Exatus Assessoria Contábil,11,True,,,,
"R. Brusque, 195",,Advogado, (47) 3348-6400 · ,,JPhilippi Escritório De Contabilidade,12,,,,,
"R. Cap. Adolfo Germano de Andrade, 112 - sala 01",,Assessoria contábil, (47) 3348-1836 · ,https://reiser-contabilidade-ltda-me.negocio.site/,REISER CONTABILIDADE LTDA - ME,13,,False,False,,
"R. Itajai, 324",,Escritório de contabilidade, (47) 3342-1435 · ,http://www.sacontabilidade.com.br/,"S.A. Contabilidade - Rua Itajai - São Domingos, Navegantes - SC",14,,False,True,,
