address,classification,details,fone,link,name,position,has_instagram,has_facebook,link_problem,facebook_link
Porto União,,Assessoria contábil, (42) 3522-3782 · ,,Escritório Contábil Independência,1,,,,
União da Vitória,,Assessoria contábil, (42) 3522-2145 · ,,Escritório de Contabilidade Primo,2,,,,
"R. Profa. Amazília, 874",,Assessoria contábil, (42) 3523-6252 · ,,Uniao Contabilidade,21,,,,
"R. Siqueira Campos, 33 - 1º Andar","5,0",Assessoria contábil, (42) 3522-1192 · ,,Winter Contabilidade (Walter Winter - EPP),22,,,,
Rua Professora Amazilia 472 - 1ºandar - Sala 104,"5,0",Escritório de contabilidade, (42) 3523-1700 · ,https://naizercontabilidade4235231700.negocio.site/?utm_source=gmb&utm_medium=referral,NAIZER CONTABILIDADE (42)-35231700,23,False,False,,
"R. Benjamin Constant, 415","5,0",Assessoria contábil, (42) 3522-1331 · ,,Clivatti e Companhia Ltda S/C,24,,,,
"R. Profa. Amazília, n. 593",,Assessoria contábil, (42) 3522-3145 · ,http://1000b.com.br/contato/,1000B Assessoria Contábil,25,False,False,,
"R. Profa. Amazília, 360",,Escritório da empresa, (42) 3523-2128 · ,http://cpontualcontabil.com.br/,Pontual Contabilidade e Assessoria,26,,,True,
"R. Prudente de Morais, 887","5,0",Escritório da empresa, (42) 3523-8042 · ,http://www.schickcontabilidade.com.br/,Schick Contabilidade,27,False,False,,
"Av. Getúlio Vargas, 186 - 73","5,0",Assessoria contábil, (42) 3522-1097 · ,http://business.google.com/website/calliari-cia-ltda,Calliari & Cia LTDA,28,False,False,,
"R. Ipiranga, 541",,Assessoria contábil, (42) 3522-1084 · ,https://www.facebook.com/levisekuckla/,LK Contábil - Levis e Kuckla Contabilidade,29,True,True,,https://web.facebook.com/levisekuckla/posts
"R. Lauro Müler, 363","5,0",Escritório de advocacia, (42) 3524-6060 · ,http://www.slongoadvogados.com.br/escritorio,Slongo Advogados Associados,30,False,True,,
"R. Carlos Cavalcante, 449",,Assessoria contábil, (42) 3523-2357 · ,,RJ Assessoria Contábil,31,,,,
"Rua Atílio Marcola, 226 - Cidade Nova, Porto União - SC esquina com, R. Joaquim Nabuco","4,0",Empresa de Auditoria, (42) 3522-4983 · ,,Auditoria e Advocacia Cunha,32,,,,
"R. Laurindo Furlan, 1009",,Escritório de contabilidade, (42) 98823-6860 · ,http://solutionscontabilidade.com/,Solutions Contabilidade,33,False,True,,https://www.facebook.com/Solutions-Contabilidade-102865304544511/
"Av. Santa Rosa, 250","1,0",Assessoria contábil, (42) 3523-1017 · ,,Escritório Flenik de Contabilidade,34,,,,
