address,classification,details,fone,link,name,position,has_instagram,has_facebook,link_problem,facebook_link
"Av. Interventor Manoel Ribas, 810",,Assessoria contábil, (42) 3522-2028 · ,http://escrituniao.com.br/,Escritório Contábil União,1,False,False,,
"R. Cruz Machado, 177",,Assessoria contábil, (42) 3522-5184 · ,,Escritório de Contabilidade Prado,2,,,,
"R. Clotário Portugal, 1377",,Assessoria contábil, (42) 3522-2145 · ,,Escritório de Contabilidade Primo,3,,,,
"R. Barão do Rio Branco, 145",,Assessoria contábil, (42) 3522-4788 · ,,Escritório de Contabilidade Teixeira,4,,,,
"R. Benjamin Constant, 297","5,0",Assessoria contábil, (42) 3522-2806 · ,https://contabilidade-schwartz.negocio.site/,Escritório de Contabilidade Schwartz,5,False,False,,
"Av. Getúlio Vargas, 186",,Escritório de contabilidade, (42) 3522-3955 · ,,Fattor Contabilidade e Assessoria,6,,,,
"R. Profa. Amazília, 1034 - 1° andar","1,0",Escritório da empresa, (42) 3523-2128 · ,http://cpontualcontabil.com.br/,Pontual Contabilidade e Assessoria,7,,,True,
"R. Dom Pedro II, 74",,Assessoria contábil, (42) 3522-3744 · ,http://escritorio-contabil-magnani-brittes-cia-ltda.negocio.site/,Escritório Contábil Magnani Brittes & Cia. Ltda.,8,False,False,,
"R. Dom Pedro II, 928","5,0",Escritório de contabilidade, (42) 3522-2145 · ,https://contabilidadeprimo.negocio.site/,Contabilidade e Advocacia Covalchuk & Bertolotte,9,False,False,,
"Av. Getúlio Vargas, 186 - Sala 73",,Escritório de contabilidade, (42) 99132-1757 · ,http://www.wix.com/cf_innovare/innovarecontabilidade,Innovare Assessoria Contábil e Consultoria Empresarial,10,False,True,,
"R. Dom Pedro II, 445",,Escritório de contabilidade, (42) 3522-3690 · ,,Escritorio Contábil Horbacz Ltda.,11,,,,
"R. Frei Rogerio, 42",,Assessoria contábil, (42) 3522-3782 · ,,Escritório Contábil Independência,12,,,,
"R. Profa. Amazília, 874",,Assessoria contábil, (42) 3523-6252 · ,,Uniao Contabilidade,13,,,,
"R. Benjamin Constant, 415",,Assessoria contábil, (42) 3522-1331 · ,,Clivatti e Companhia Ltda S/C,14,,,,
"Av. Getúlio Vargas, 186 - 73",,Assessoria contábil, (42) 3522-1097 · ,http://business.google.com/website/calliari-cia-ltda,Calliari & Cia LTDA,15,False,False,,
"R. Profa. Amazília, 472 - SALA 104","5,0",Assessoria contábil, (42) 3523-1700 · ,,NAIZER CONTABILIDADE,16,,,,
"R. Prudente de Morais, 720",,Contabilidade, (42) 3523-9163 · ,http://www.escmodelo.com/,Escritório Contábil Modelo,17,False,False,,
"R. Carlos Cavalcante, 449",,Assessoria contábil, (42) 3523-2357 · ,,RJ Assessoria Contábil,18,,,,
"R. Profa. Amazília, n. 593",,Assessoria contábil, (42) 3522-3145 · ,http://1000b.com.br/contato/,1000B Assessoria Contábil,19,False,False,,
"R. Dom Pedro II, 616",,Escritório de contabilidade, (42) 3522-4137 · ,http://sfutura.com.br/,S Futura Contabilidade & Consultoria,20,False,True,,
"R. Ipiranga, 541",,Assessoria contábil, (42) 3522-1084 · ,https://www.facebook.com/levisekuckla/,LK Contábil - Levis e Kuckla Contabilidade,21,True,True,,https://web.facebook.com/levisekuckla/posts
Rua Professora Amazilia 472 - 1ºandar - Sala 104,"5,0",Escritório de contabilidade, (42) 3523-1700 · ,https://naizercontabilidade4235231700.negocio.site/?utm_source=gmb&utm_medium=referral,NAIZER CONTABILIDADE (42)-35231700,22,False,False,,
"R. Profa. Amazília, 360",,Escritório da empresa, (42) 3523-2128 · ,http://cpontualcontabil.com.br/,Pontual Contabilidade e Assessoria,23,,,True,
"R. Sete de Setembro, 243",,Assessoria contábil, (42) 3522-2791 · ,,Heifran Contabilidade e Assessoria Empresarial,24,,,,
"MARECHAL DEODORO DA FONSECA, 1888","5,0",Escritório de contabilidade, (42) 3522-2020 · ,,J.A CONTABILIDADE,25,,,,
"R. Guilherme Gaertner, 133",,Escritório de contabilidade, (42) 3523-1263 · ,http://www.temsolucaocontabil.com.br/,TEM Solução - Serviços Contábeis e Econômicos,26,,,True,
"R. dos Lírios, 222","1,0",Perito em contabilidade, (42) 3523-3497 · ,https://contabilidade-jaw.ueniweb.com/?utm_campaign=gmb,Contabilidade - Jaw,27,False,True,,https://www.facebook.com/share.php?u=https://contabilidade-jaw.ueniweb.com&title=Contabilidade%20-%20Jaw
"R. Prudente de Morais, 300",,Assessoria contábil, (42) 3522-2791 · ,,Heifran Contabilidade e Assessoria Empresarial,28,,,,
"R. Laurindo Furlan, 1009","5,0",Escritório de contabilidade, (42) 98823-6860 · ,http://solutionscontabilidade.com/,Solutions Contabilidade,29,False,True,,https://www.facebook.com/Solutions-Contabilidade-102865304544511/
"R. Prudente de Morais, 887","5,0",Escritório da empresa, (42) 3523-8042 · ,http://www.schickcontabilidade.com.br/,Schick Contabilidade,30,False,False,,
