address,classification,details,fone,link,name,position,has_instagram,has_facebook,link_problem,facebook_link,instagram_link
"       R. Carlos Cavalcante, 133 - Centro, União da Vitória - PR, 84600-130      ","5,0",Loja de cosmético,       (42) 98403-0312      ,       instagram.com      ,Loja Natura Viva Bem,1,True,False,,,
"       Rua Dom Pedro II, Brasil, 1220 - São Bernardo, União da Vitória - PR, 84600-332      ","5,0",Loja de cosmético,       (42) 99972-9527      ,       unibelezacosmeticos.com      ,UniBeleza Cosméticos,2,,,True,,
"       R. Ipiranga, 11 - Centro, União da Vitória - PR, 84600-000      ","4,6",Loja de cosmético,       (42) 3522-9713      ,,Hinode,4,,,,,
"       RUA Prudente DE Morais, 516, QSQ 01 - Centro, União da Vitória - PR, 84600-000      ","4,5",Loja de produtos de beleza,       (42) 3522-7100      ,       boticario.com.br      ,O Boticário,5,True,True,,https://www.facebook.com/oboticario/,https://www.instagram.com/oboticario/
"       R. Dom Pedro II, 1220 - São Bernardo, União da Vitória - PR, 84600-332      ",,Loja de cosmético,       (42) 99972-9527      ,       unibelezacosmeticos.com      ,Extratos da Terra - Ponta Grossa,6,,,True,,
"       R. Profa. Amazília, 127 - Centro, União da Vitória - PR, 84600-000      ","4,6",Loja de Roupa,,,Miss Bella,7,,,,,
"       R. Siqueira Campos, 110 - Centro, Porto União - SC, 89400-000      ","5,0",Loja de produtos de beleza,       (42) 98855-4854      ,       facebook.com      ,Mundo Make -Up,8,True,True,,https://web.facebook.com/help/568137493302217,
"       R. Pedro Siqueira Cortez, 58 - Centro, União da Vitória - PR, 84600-000      ","4,7",Loja de produtos de beleza,       (42) 3524-5009      ,       boticario.com.br      ,O Boticário,9,True,True,,https://www.facebook.com/oboticario/,https://www.instagram.com/oboticario/
"       R. Matos Costa, 36 - Centro, Porto União - SC, 89400-000      ","4,8",Loja de produtos naturais,       (42) 3522-9445      ,       redeciadasaude.com.br      ,Cia da Saúde Porto União,10,True,True,,http://www.facebook.com.br/redeciadasaude,https://www.instagram.com/redeciadasaude
"       Av. Interventor Manoel Ribas, 629 - Centro, União da Vitória - PR, 84600-280      ",,,       (42) 99112-5078      ,,Jú Cosméticos,11,,,,,
"       R. Matos Costa, 33 - Centro, Porto União - SC, 89400-000      ",,Confecção,       (42) 3522-1523      ,,Loja Eve,12,,,,,
"       R. dos Expedicionários, 502 - São Basílio Magno, União da Vitória - PR, 84600-506      ","5,0",Perfumaria,       (42) 99106-0686      ,       maguttaromas.minestore.com.br      ,Magutt Aromas e cosméticos Ltda,13,True,True,,,
"       R. Profa. Amazília, 312 - Centro, União da Vitória - PR, 84600-000      ","4,0",Loja de eletrodomésticos,       (42) 3522-1241      ,       colombo.com.br      ,Lojas Colombo,14,True,True,,https://www.facebook.com/LojasColombo/,https://instagram.com/lojascolombo/
"       R. Carlos Cavalcante - Centro, União da Vitória - PR, 84600-130      ","5,0",Salão de Beleza,       (42) 98435-9331      ,,Tânia Kuchinski - Cabelo e Maquiagem.,15,,,,,
"       R. Siqueira Campos, 50 - Centro, Porto União - SC, 89400-000      ","4,5",Loja de eletrônicos,       (42) 3523-7746      ,,Loja Schok,16,,,,,
"       Av. dos Ferroviários, 1045 - São Pedro, Porto União - SC, 89400-000      ","4,5",Loja de departamento,       (42) 3903-3000      ,       havan.com.br      ,Havan Porto União,17,,,True,,
"       R. Cidadão José Lona, 519 - Santa Rosa, Porto União - SC, 89400-000      ","2,7",Loja de acessórios de moda,       (42) 3532-2876      ,,Loja Sempre Útil,18,,,,,
"       R. Prudente de Morais, 350 - Centro, União da Vitória - PR, 84600-000      ","4,5",Escritório da empresa,       (42) 3524-2863      ,       cristalcosmetic.com.br      ,Cristal Cosmetic,19,,,True,,
"       Av. Getúlio Vargas, 426 - Cidade Nova, Porto União - SC, 89400-000      ","4,9",Pet Shop,       (42) 3522-9343      ,       facebook.com      ,Porto Pet,20,True,True,,https://web.facebook.com/help/568137493302217,
"       R. Sete de Setembro, 76 - Centro, Porto União - SC, 89400-000      ","5,0",Farmácia,       (42) 3522-1439      ,       facebook.com      ,Farmácia Liderfarma,2,True,True,,https://web.facebook.com/help/568137493302217,
"       Av. Interventor Manoel Ribas, 129 - Centro, União da Vitória - PR, 84600-280      ",,"Loja de R$ 1,99",       (42) 3523-9086      ,       paguemenos.com.br      ,Loja pague menos,3,,,True,,
