address,classification,details,fone,link,name,position,link_problem,has_instagram,has_facebook,facebook_link,instagram_link
"       R. Profa. Amazília, 127 - Centro, União da Vitória - PR, 84600-000      ","4,6",Loja de Roupa,,,Miss Bella,1,,,,,
"       Rua Dom Pedro II, Brasil, 1220 - São Bernardo, União da Vitória - PR, 84600-332      ","5,0",Loja de cosmético,       (42) 99972-9527      ,       unibelezacosmeticos.com      ,UniBeleza Cosméticos,2,True,,,,
"       R. Sete de Setembro, 87 - Centro, Porto União - SC, 89400-000      ","4,6",Loja de cosmético,       (42) 3522-0156      ,,Flor de Lis Cosméticos,3,,,,,
"       R. Ipiranga, 11 - Centro, União da Vitória - PR, 84600-000      ","4,6",Loja de cosmético,       (42) 3522-9713      ,,Hinode,4,,,,,
"       R. Dom Pedro II, 1220 - São Bernardo, União da Vitória - PR, 84600-332      ",,Loja de cosmético,       (42) 99972-9527      ,       unibelezacosmeticos.com      ,Extratos da Terra - Ponta Grossa,5,True,,,,
"       R. Carlos Cavalcante, 133 - Centro, União da Vitória - PR, 84600-130      ","5,0",Loja de cosmético,       (42) 98403-0312      ,       instagram.com      ,Loja Natura Viva Bem,6,,True,False,,
"       RUA Prudente DE Morais, 516, QSQ 01 - Centro, União da Vitória - PR, 84600-000      ","4,5",Loja de produtos de beleza,       (42) 3522-7100      ,       boticario.com.br      ,O Boticário,7,,True,True,https://www.facebook.com/oboticario/,https://www.instagram.com/oboticario/
"       R. Pedro Siqueira Cortez, 58 - Centro, União da Vitória - PR, 84600-000      ","4,7",Loja de produtos de beleza,       (42) 3524-5009      ,       boticario.com.br      ,O Boticário,8,,True,True,https://www.facebook.com/oboticario/,https://www.instagram.com/oboticario/
"       Av. Interventor Manoel Ribas, 629 - Centro, União da Vitória - PR, 84600-280      ",,,       (42) 99112-5078      ,,Jú Cosméticos,9,,,,,
"       R. Profa. Amazília, 312 - Centro, União da Vitória - PR, 84600-000      ","4,0",Loja de eletrodomésticos,       (42) 3522-1241      ,       colombo.com.br      ,Lojas Colombo,10,,True,True,https://www.facebook.com/LojasColombo/,https://instagram.com/lojascolombo/
"       R. Prudente de Morais, 350 - Centro, União da Vitória - PR, 84600-000      ","4,5",Escritório da empresa,       (42) 3524-2863      ,       cristalcosmetic.com.br      ,Cristal Cosmetic,11,True,,,,
"       R. Carlos Cavalcante - Centro, União da Vitória - PR, 84600-130      ","5,0",Salão de Beleza,       (42) 98435-9331      ,,Tânia Kuchinski - Cabelo e Maquiagem.,12,,,,,
"       R. dos Expedicionários, 502 - São Basílio Magno, União da Vitória - PR, 84600-506      ","5,0",Perfumaria,       (42) 99106-0686      ,       maguttaromas.minestore.com.br      ,Magutt Aromas e cosméticos Ltda,13,,True,True,,
,,,,,,14,,,,,
